,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
14,Jason Terry,2003-04,ATL,81,27,54,0.333,37.2,6.2,14.8,0.417,1.8,5.2,0.347,2.7,3.2,0.827,0.6,3.5,4.1,5.4,2.8,1.5,0.2,0.6,2.4,0.0,16.8,-2.8,32.2,5,0,4,16,2,18,4,6,4,15,7,6,18,6,5,13,1,1,1,3,3,3,9,3,3,16,6,17,4,5,2
4,Shareef Abdur-Rahim,2003-04,TOT,85,35,50,0.412,31.7,5.9,12.4,0.475,0.1,0.4,0.265,4.4,5.0,0.869,2.2,5.3,7.5,2.0,2.2,0.8,0.4,1.1,2.6,0.0,16.3,-1.4,29.9,28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Shareef Abdur-Rahim,2003-04,POR,32,17,15,0.531,22.8,3.7,8.3,0.447,0.1,0.3,0.364,2.5,3.0,0.832,1.5,3.0,4.5,1.5,1.7,0.8,0.6,0.7,2.3,0.0,10.0,0.5,19.9,2,0,12,9,12,1,12,12,11,11,8,9,3,11,11,7,11,12,12,11,10,10,8,12,12,9,11,2,12,12,2
6,Shareef Abdur-Rahim,2003-04,ATL,53,18,35,0.34,37.0,7.2,14.9,0.485,0.1,0.4,0.217,5.5,6.3,0.88,2.7,6.7,9.3,2.4,2.5,0.8,0.4,1.3,2.8,0.0,20.1,-2.5,36.0,26,0,10,8,10,6,6,6,7,3,9,8,10,4,8,2,3,3,2,7,8,9,12,7,8,11,6,6,7,5,2
16,Stephen Jackson,2003-04,ATL,80,27,53,0.338,36.8,6.7,15.8,0.425,1.8,5.3,0.34,2.9,3.7,0.785,1.2,3.4,4.6,3.1,2.8,1.8,0.3,0.6,2.7,0.0,18.1,-3.0,31.5,4,0,2,8,1,15,4,3,6,3,3,4,5,9,10,11,1,7,4,8,5,1,13,10,3,13,6,16,5,2,3
4,Jiri Welsch,2003-04,BOS,81,35,46,0.432,27.0,3.2,7.6,0.428,0.9,2.2,0.381,1.9,2.5,0.743,0.7,2.9,3.7,2.3,1.6,1.2,0.1,0.6,2.2,0.0,9.2,-1.3,19.4,1,0,1,1,1,3,1,1,1,2,1,1,1,2,2,4,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1
7,Mark Blount,2003-04,BOS,82,36,46,0.439,29.3,4.2,7.4,0.566,0.0,0.0,0.0,1.9,2.7,0.719,2.5,4.7,7.2,0.9,1.8,1.0,1.3,0.5,3.1,0.0,10.3,-0.5,25.2,19,0,1,2,3,4,2,4,6,1,4,5,4,2,2,6,1,1,1,3,4,1,1,4,2,8,3,3,1,1,1
13,Paul Pierce,2003-04,BOS,80,35,45,0.438,38.7,7.5,18.7,0.402,1.4,4.8,0.299,6.5,7.9,0.819,0.9,5.7,6.5,5.1,3.8,1.6,0.7,1.0,2.9,0.0,23.0,-0.9,41.5,19,1,5,14,3,16,4,6,3,17,13,5,19,6,6,8,8,5,5,1,1,6,6,9,4,16,6,17,5,2,3
8,Ricky Davis,2003-04,TOT,79,30,49,0.38,31.3,5.6,12.0,0.469,0.7,1.8,0.371,2.5,3.5,0.718,1.0,3.6,4.5,3.3,2.4,1.2,0.3,0.6,2.2,0.0,14.4,-2.7,26.9,1,0,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1
9,Ricky Davis,2003-04,BOS,57,24,33,0.421,29.5,5.5,11.2,0.488,0.6,1.6,0.38,2.5,3.5,0.732,1.0,3.1,4.2,2.6,2.1,1.2,0.2,0.5,2.1,0.0,14.1,-1.9,25.3,0,0,6,6,6,5,8,7,8,2,9,9,5,6,6,12,2,7,6,8,8,2,7,8,8,11,7,7,8,7,1
10,Ricky Davis,2003-04,CLE,22,6,16,0.273,36.1,6.1,14.1,0.431,0.8,2.2,0.354,2.3,3.4,0.68,0.8,4.7,5.5,5.0,3.1,1.1,0.4,0.8,2.3,0.0,15.3,-4.5,30.9,1,0,13,13,13,11,6,5,4,9,7,8,7,8,7,13,5,1,1,3,2,5,2,4,3,11,6,11,4,5,1
4,Walter McCarty,2003-04,BOS,77,33,44,0.429,24.7,2.6,6.8,0.388,1.8,4.8,0.374,0.8,1.1,0.756,0.4,2.7,3.1,1.6,1.2,0.9,0.3,0.2,2.3,0.0,7.9,-1.1,16.5,1,0,3,3,2,7,2,2,2,6,1,1,3,3,4,2,9,1,4,2,3,3,5,5,3,4,2,8,2,1,1
8,Eddy Curry,2003-04,CHI,73,20,53,0.274,29.6,5.7,11.5,0.496,0.0,0.0,1.0,3.2,4.8,0.671,2.0,4.2,6.2,0.9,2.4,0.3,1.1,1.3,3.5,0.0,14.7,-4.1,25.4,10,0,3,4,1,10,2,3,3,9,1,1,1,4,5,3,3,2,2,1,4,4,1,1,1,8,3,7,2,2,1
18,Jamal Crawford,2003-04,CHI,80,23,57,0.288,35.2,6.4,16.5,0.386,2.1,6.5,0.317,2.5,3.0,0.833,0.6,3.0,3.5,5.1,2.4,1.4,0.4,0.6,2.0,0.0,17.3,-4.1,32.0,2,0,2,13,2,16,6,4,2,19,6,3,20,14,14,15,2,1,1,1,2,1,1,5,1,17,8,17,2,4,1
16,Kirk Hinrich,2003-04,CHI,76,20,56,0.263,35.6,4.2,10.8,0.386,1.9,4.9,0.39,1.8,2.2,0.804,0.6,2.9,3.4,6.8,2.7,1.3,0.3,0.7,3.6,0.0,12.0,-3.3,28.5,14,1,4,11,1,15,3,5,4,12,1,2,5,5,4,6,1,6,5,1,1,2,7,3,1,14,4,13,4,1,1
11,Carlos Boozer,2003-04,CLE,75,34,41,0.453,34.6,6.3,12.0,0.523,0.0,0.1,0.167,2.9,3.8,0.768,3.1,8.4,11.4,2.0,1.8,1.0,0.7,0.9,2.7,0.0,15.5,0.4,35.5,41,0,6,8,3,10,3,10,11,7,1,1,1,6,7,2,2,3,2,9,10,4,1,10,11,12,9,6,4,5,2
18,LeBron James,2003-04,CLE,79,33,46,0.418,39.6,7.9,18.9,0.417,0.8,2.7,0.29,4.4,5.8,0.754,1.3,4.2,5.5,5.9,3.5,1.6,0.7,1.0,1.9,0.0,20.9,-1.8,40.0,12,0,4,16,1,19,5,19,11,19,19,18,19,17,16,6,8,19,19,19,9,6,9,1,7,18,19,19,19,17,18
7,Zydrunas Ilgauskas,2003-04,CLE,81,34,47,0.42,31.4,5.8,11.9,0.483,0.0,0.1,0.286,3.7,5.0,0.746,3.4,4.6,8.1,1.3,2.0,0.5,2.5,1.0,3.4,0.0,15.3,-2.1,33.8,22,0,2,9,2,10,3,5,4,7,4,4,3,4,4,10,3,6,5,4,4,8,1,1,5,10,4,11,2,4,1
12,Antawn Jamison,2003-04,DAL,82,52,30,0.634,29.0,6.0,11.1,0.535,0.2,0.5,0.4,2.7,3.6,0.748,2.8,3.5,6.3,0.9,1.0,1.0,0.4,0.7,2.1,0.0,14.8,3.4,26.8,9,0,1,1,12,3,14,14,14,1,15,15,1,12,13,5,3,15,14,14,15,8,8,9,15,13,14,2,14,12,1
6,Antoine Walker,2003-04,DAL,82,52,30,0.634,34.6,5.9,13.8,0.428,1.0,3.7,0.269,1.3,2.3,0.554,2.4,5.9,8.3,4.5,2.5,0.8,0.8,1.1,2.6,0.0,14.0,1.6,33.1,27,2,1,1,10,2,10,10,10,4,11,9,12,10,10,10,5,7,7,4,10,10,2,10,10,9,10,3,10,5,2
15,Dirk Nowitzki,2003-04,DAL,77,49,28,0.636,37.9,7.9,17.0,0.462,1.3,3.8,0.341,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.8,1.2,1.4,0.4,2.8,0.0,21.8,5.3,42.2,31,0,10,9,12,9,6,11,8,12,11,9,19,12,12,13,8,6,7,8,12,3,2,13,5,17,10,9,7,7,3
8,Michael Finley,2003-04,DAL,72,49,23,0.681,38.6,7.1,16.1,0.443,2.1,5.1,0.405,2.3,2.7,0.85,1.1,3.4,4.5,2.9,1.2,1.2,0.5,0.4,1.6,0.0,18.6,3.7,32.4,3,0,8,7,10,6,6,7,7,8,1,1,4,8,8,4,8,8,7,7,9,5,1,9,8,10,7,4,7,7,4
10,Steve Nash,2003-04,DAL,78,50,28,0.641,33.5,5.1,10.8,0.47,1.3,3.3,0.405,2.9,3.2,0.916,0.8,2.2,3.0,8.8,2.7,0.9,0.1,0.3,1.8,0.0,14.5,3.1,31.4,28,1,6,9,5,10,8,11,10,13,8,7,13,6,7,6,4,12,11,9,11,5,6,8,7,11,11,12,10,8,1
20,Andre Miller,2003-04,DEN,82,43,39,0.524,34.7,5.2,11.5,0.457,0.1,0.8,0.185,4.2,5.0,0.832,1.5,2.9,4.5,6.1,2.6,1.7,0.3,1.0,2.4,0.0,14.8,2.0,32.8,11,1,1,6,7,11,9,6,7,15,11,6,16,3,4,6,1,7,4,12,8,1,3,5,8,18,5,7,6,9,3
20,Carmelo Anthony,2003-04,DEN,82,43,39,0.524,36.5,7.6,17.9,0.426,0.8,2.6,0.322,5.0,6.4,0.777,2.2,3.8,6.1,2.8,3.0,1.2,0.5,1.7,2.7,0.0,21.0,0.8,34.5,11,0,1,8,4,12,6,14,14,17,15,14,16,12,12,18,2,15,12,12,5,5,11,2,13,20,14,12,14,6,3
9,Earl Boykins,2003-04,DEN,82,43,39,0.524,22.4,3.9,9.3,0.419,0.7,2.1,0.322,1.7,2.0,0.877,0.5,1.2,1.7,3.6,1.2,0.6,0.0,0.4,1.0,0.0,10.2,0.1,18.5,1,0,1,2,2,3,5,5,5,8,5,4,8,6,6,4,5,5,3,5,6,6,8,6,5,9,5,7,5,3,1
13,Marcus Camby,2003-04,DEN,72,36,36,0.5,30.1,3.6,7.6,0.477,0.0,0.0,0.0,1.4,1.9,0.721,2.9,7.2,10.1,1.8,1.4,1.2,2.6,0.3,3.3,0.0,8.6,1.0,33.5,19,0,2,6,4,11,11,10,12,8,10,15,10,11,12,4,8,11,10,9,9,4,6,9,4,13,11,7,9,7,3
17,Nene,2003-04,DEN,77,40,37,0.519,32.6,4.3,8.2,0.53,0.0,0.0,0.0,3.1,4.6,0.682,2.0,4.5,6.5,2.2,2.4,1.5,0.5,0.9,3.6,0.0,11.8,3.6,26.6,12,0,3,6,2,13,2,10,9,9,6,14,6,6,6,6,5,8,8,4,2,2,13,3,2,17,9,6,8,4,1
