,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
4,Dion Glover,2002-03,ATL,76,32,44,0.421,24.8,3.6,8.5,0.427,0.7,2.1,0.354,1.7,2.1,0.784,0.8,2.9,3.7,1.9,1.4,0.9,0.2,0.6,1.9,0.0,9.7,0.3,18.9,2,0,1,1,1,2,2,2,2,1,1,1,1,3,3,2,2,2,2,2,2,1,4,3,2,3,2,2,2,1,1
2,Glenn Robinson,2002-03,ATL,69,26,43,0.377,37.6,7.8,18.1,0.432,1.3,3.8,0.342,3.9,4.4,0.876,1.2,5.4,6.6,3.0,3.6,1.3,0.4,0.7,2.7,0.0,20.8,-2.6,34.7,9,0,4,6,2,8,3,6,3,9,1,1,5,1,3,1,6,1,2,3,1,2,7,8,3,4,5,8,5,3,1
15,Jason Terry,2002-03,ATL,81,34,47,0.42,38.1,6.0,14.1,0.428,2.0,5.3,0.371,3.2,3.6,0.887,0.5,3.0,3.4,7.4,3.1,1.6,0.2,0.6,2.2,0.0,17.2,-1.4,34.6,20,1,4,12,4,16,1,7,5,13,6,4,12,3,3,2,7,2,3,1,1,2,12,5,5,16,4,14,2,1,1
7,Shareef Abdur-Rahim,2002-03,ATL,81,35,46,0.432,38.0,7.0,14.6,0.478,0.3,0.7,0.35,5.6,6.7,0.841,2.2,6.2,8.4,3.0,2.6,1.1,0.5,1.3,3.0,0.0,19.9,-2.1,36.4,29,0,3,2,6,3,5,7,8,5,4,4,4,3,5,4,8,5,5,5,7,6,11,8,4,8,7,4,6,4,2
14,Theo Ratliff,2002-03,ATL,81,34,47,0.42,31.2,3.4,7.3,0.464,0.0,0.0,0.0,1.9,2.6,0.72,1.9,5.6,7.5,0.9,1.7,0.7,3.2,0.5,3.3,0.0,8.7,-1.0,29.1,9,0,1,3,1,13,6,5,5,13,1,2,1,6,7,6,8,2,4,3,5,3,4,6,6,15,5,11,6,5,1
7,Antoine Walker,2002-03,BOS,78,42,36,0.538,41.5,7.7,19.9,0.388,2.4,7.5,0.323,2.3,3.7,0.615,1.3,5.9,7.2,4.8,3.3,1.5,0.4,1.1,2.8,0.0,20.1,1.1,38.3,17,2,8,4,6,5,3,6,4,12,3,2,8,8,8,7,10,6,10,3,4,5,9,9,8,7,6,4,5,8,2
10,Eric Williams,2002-03,BOS,82,44,38,0.537,28.7,3.1,7.0,0.442,0.5,1.3,0.336,2.5,3.3,0.75,1.7,2.9,4.7,1.7,1.2,1.0,0.2,0.5,2.9,0.0,9.1,0.8,19.9,3,0,1,2,3,4,4,5,6,3,6,5,5,7,7,5,2,4,2,5,7,1,2,8,3,7,6,3,5,1,1
14,Paul Pierce,2002-03,BOS,79,42,37,0.532,39.2,8.4,20.2,0.416,1.5,4.9,0.302,7.6,9.5,0.802,1.3,6.0,7.3,4.4,3.6,1.8,0.8,1.2,2.9,0.0,25.9,1.6,45.3,20,1,8,8,5,13,2,3,1,16,10,4,18,2,2,11,2,1,1,6,2,3,5,1,8,15,3,10,1,1,3
5,Tony Delk,2002-03,BOS,67,37,30,0.552,28.0,3.5,8.4,0.416,1.8,4.5,0.395,1.0,1.3,0.782,0.6,2.9,3.5,2.2,1.0,1.1,0.1,0.2,1.9,0.0,9.8,-1.2,19.8,0,0,3,3,4,5,1,5,5,6,1,1,4,9,9,7,6,1,2,4,6,1,6,11,4,5,5,9,2,5,1
10,Donyell Marshall,2002-03,CHI,78,28,50,0.359,30.5,5.4,11.8,0.459,0.4,1.1,0.379,2.1,2.8,0.756,3.0,6.0,9.0,1.8,1.7,1.2,1.1,1.0,3.0,0.0,13.4,-3.1,31.9,30,0,4,5,2,10,4,4,4,4,14,14,5,5,5,5,1,3,3,3,4,2,4,3,3,7,6,11,4,2,1
