season,Award,Name,First Votes,Points Won,Max Points,Award Shares
2000-01,mvp,Jason Kidd,0.0,18.0,1240,0.015
2000-01,mvp,Kobe Bryant,0.0,11.0,1240,0.009
2000-01,mvp,David Robinson,0.0,8.0,1240,0.006
2000-01,mvp,Ray Allen,0.0,7.0,1240,0.006
2000-01,mvp,Vince Carter,0.0,7.0,1240,0.006
2000-01,mvp,Paul Pierce,0.0,5.0,1240,0.004
2000-01,mvp,Jerry Stackhouse,0.0,3.0,1240,0.002
2000-01,mvp,Michael Finley,0.0,1.0,1240,0.001
2000-01,mvp,Anthony Mason,0.0,1.0,1240,0.001
2000-01,mvp,John Stockton,0.0,1.0,1240,0.001
2000-01,roy,Mike Miller,75.0,75.0,124,0.605
2000-01,roy,Kenyon Martin,36.0,36.0,124,0.290
2000-01,roy,Marc Jackson,7.0,7.0,124,0.056
2000-01,roy,Darius Miles,3.0,3.0,124,0.024
2000-01,roy,Morris Peterson,3.0,3.0,124,0.024
1999-00,mvp,Shaquille O'Neal,120.0,1207.0,1210,0.998
1999-00,mvp,Kevin Garnett,0.0,408.0,1210,0.337
1999-00,mvp,Alonzo Mourning,0.0,367.0,1210,0.303
1999-00,mvp,Karl Malone,0.0,312.0,1210,0.258
1999-00,mvp,Tim Duncan,0.0,248.0,1210,0.205
1999-00,mvp,Gary Payton,0.0,180.0,1210,0.149
1999-00,mvp,Allen Iverson,1.0,132.0,1210,0.109
1999-00,mvp,Grant Hill,0.0,113.0,1210,0.093
1999-00,mvp,Chris Webber,0.0,96.0,1210,0.079
1999-00,mvp,Vince Carter,0.0,51.0,1210,0.042
1999-00,mvp,Jason Kidd,0.0,25.0,1210,0.021
1999-00,mvp,Kobe Bryant,0.0,3.0,1210,0.002
1999-00,mvp,Darrell Armstrong,0.0,1.0,1210,0.001
1999-00,mvp,Michael Finley,0.0,1.0,1210,0.001
1999-00,mvp,Reggie Miller,0.0,1.0,1210,0.001
1999-00,mvp,Jalen Rose,0.0,1.0,1210,0.001
1999-00,roy,Elton Brand,58.0,58.0,121,0.479
1999-00,roy,Steve Francis,58.0,58.0,121,0.479
1999-00,roy,Lamar Odom,3.0,3.0,121,0.025
1999-00,roy,Andre Miller,2.0,2.0,121,0.017
1998-99,mvp,Karl Malone,44.0,827.0,1180,0.701
1998-99,mvp,Alonzo Mourning,36.0,773.0,1180,0.655
1998-99,mvp,Tim Duncan,30.0,740.0,1180,0.627
1998-99,mvp,Allen Iverson,5.0,319.0,1180,0.270
1998-99,mvp,Jason Kidd,2.0,159.0,1180,0.135
1998-99,mvp,Shaquille O'Neal,1.0,89.0,1180,0.075
1998-99,mvp,Chris Webber,0.0,51.0,1180,0.043
1998-99,mvp,Grant Hill,0.0,39.0,1180,0.033
1998-99,mvp,Gary Payton,0.0,35.0,1180,0.030
1998-99,mvp,Kevin Garnett,0.0,9.0,1180,0.008
1998-99,mvp,Shawn Kemp,0.0,7.0,1180,0.006
1998-99,mvp,David Robinson,0.0,6.0,1180,0.005
1998-99,mvp,Hakeem Olajuwon,0.0,3.0,1180,0.003
1998-99,mvp,Arvydas Sabonis,0.0,3.0,1180,0.003
1998-99,mvp,Darrell Armstrong,0.0,2.0,1180,0.002
1998-99,mvp,Vince Carter,0.0,1.0,1180,0.001
1998-99,mvp,Anfernee Hardaway,0.0,1.0,1180,0.001
1998-99,mvp,Mark Jackson,0.0,1.0,1180,0.001
1998-99,mvp,Glenn Robinson,0.0,1.0,1180,0.001
1998-99,mvp,Steve Smith,0.0,1.0,1180,0.001
1998-99,mvp,Rasheed Wallace,0.0,1.0,1180,0.001
1998-99,roy,Vince Carter,113.0,113.0,118,0.958
1998-99,roy,Jason Williams,3.0,3.0,118,0.025
1998-99,roy,Paul Pierce,2.0,2.0,118,0.017
1997-98,mvp,Michael Jordan,92.0,1084.0,1160,0.934
1997-98,mvp,Karl Malone,20.0,842.0,1160,0.726
1997-98,mvp,Gary Payton,3.0,431.0,1160,0.372
1997-98,mvp,Shaquille O'Neal,1.0,311.0,1160,0.268
1997-98,mvp,Tim Duncan,0.0,148.0,1160,0.128
1997-98,mvp,Tim Hardaway,0.0,71.0,1160,0.061
1997-98,mvp,David Robinson,0.0,36.0,1160,0.031
1997-98,mvp,Vin Baker,0.0,24.0,1160,0.021
1997-98,mvp,Grant Hill,0.0,23.0,1160,0.020
1997-98,mvp,Scottie Pippen,0.0,14.0,1160,0.012
1997-98,mvp,Glen Rice,0.0,7.0,1160,0.006
1997-98,mvp,Antoine Walker,0.0,6.0,1160,0.005
1997-98,mvp,Jason Kidd,0.0,5.0,1160,0.004
1997-98,mvp,John Stockton,0.0,5.0,1160,0.004
1997-98,mvp,Mitch Richmond,0.0,3.0,1160,0.003
1997-98,mvp,Reggie Miller,0.0,2.0,1160,0.002
1997-98,mvp,Rik Smits,0.0,2.0,1160,0.002
1997-98,mvp,Michael Finley,0.0,1.0,1160,0.001
1997-98,mvp,Rod Strickland,0.0,1.0,1160,0.001
1997-98,roy,Tim Duncan,113.0,113.0,116,0.974
1997-98,roy,Keith Van Horn,3.0,3.0,116,0.026
1996-97,mvp,Karl Malone,63.0,986.0,1150,0.857
1996-97,mvp,Michael Jordan,52.0,957.0,1150,0.832
1996-97,mvp,Grant Hill,0.0,376.0,1150,0.327
1996-97,mvp,Tim Hardaway,0.0,238.0,1150,0.207
1996-97,mvp,Glen Rice,0.0,134.0,1150,0.117
1996-97,mvp,Gary Payton,0.0,105.0,1150,0.091
1996-97,mvp,Hakeem Olajuwon,0.0,95.0,1150,0.083
1996-97,mvp,Patrick Ewing,0.0,57.0,1150,0.050
1996-97,mvp,Anthony Mason,0.0,7.0,1150,0.006
1996-97,mvp,Shaquille O'Neal,0.0,7.0,1150,0.006
1996-97,mvp,Scottie Pippen,0.0,6.0,1150,0.005
1996-97,mvp,Alonzo Mourning,0.0,5.0,1150,0.004
1996-97,mvp,Dikembe Mutombo,0.0,4.0,1150,0.003
1996-97,mvp,Mitch Richmond,0.0,4.0,1150,0.003
1996-97,mvp,John Stockton,0.0,3.0,1150,0.003
1996-97,mvp,Charles Barkley,0.0,2.0,1150,0.002
1996-97,mvp,Tom Gugliotta,0.0,1.0,1150,0.001
1996-97,mvp,Allen Iverson,0.0,1.0,1150,0.001
1996-97,mvp,Kevin Johnson,0.0,1.0,1150,0.001
1996-97,mvp,Steve Smith,0.0,1.0,1150,0.001
1996-97,roy,Allen Iverson,44.0,44.0,115,0.383
1996-97,roy,Stephon Marbury,35.0,35.0,115,0.304
1996-97,roy,Shareef Abdur-Rahim,25.0,25.0,115,0.217
1996-97,roy,Antoine Walker,6.0,6.0,115,0.052
1996-97,roy,Kerry Kittles,5.0,5.0,115,0.043
