,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
7,Alan Henderson,1999-00,ATL,82,28,54,0.341,33.9,5.2,11.3,0.461,0.0,0.1,0.1,2.7,4.1,0.671,3.2,3.7,7.0,0.9,1.7,1.0,0.7,1.1,2.8,0.2,13.2,-4.6,26.2,14,0,1,5,1,8,1,2,1,9,3,1,3,2,2,4,1,2,1,2,2,1,1,4,1,3,2,10,1,1,1
6,Bimbo Coles,1999-00,ATL,80,28,52,0.35,24.1,3.5,7.6,0.455,0.1,0.5,0.205,1.1,1.3,0.817,0.4,1.8,2.2,3.6,1.3,0.7,0.1,0.4,2.2,0.3,8.1,-2.6,17.4,1,0,1,1,1,5,4,2,3,1,5,6,5,4,4,6,4,4,5,3,3,3,4,4,3,1,2,4,3,1,1
11,Dikembe Mutombo,1999-00,ATL,82,28,54,0.341,36.4,3.9,7.0,0.562,0.0,0.0,0.0,3.6,5.1,0.708,3.7,10.4,14.1,1.3,2.1,0.3,3.3,0.5,3.0,0.3,11.5,-1.7,39.0,46,1,1,8,1,14,3,4,6,1,1,1,1,5,5,7,4,1,2,2,2,6,3,5,4,5,5,14,1,2,2
2,Isaiah Rider,1999-00,ATL,60,23,37,0.383,34.8,7.5,17.9,0.419,0.9,3.0,0.311,3.4,4.3,0.785,1.1,3.3,4.3,3.7,2.8,0.7,0.1,0.8,2.2,0.3,19.3,-1.5,29.5,1,0,4,5,1,6,2,1,1,5,3,3,6,1,1,4,4,2,2,1,1,2,6,4,3,1,2,6,2,3,1
18,Jason Terry,1999-00,ATL,81,28,53,0.346,23.3,3.1,7.4,0.415,0.6,1.9,0.293,1.4,1.7,0.807,0.3,1.8,2.0,4.3,1.9,1.1,0.1,0.4,1.6,0.1,8.1,-3.2,18.8,5,0,4,15,3,17,14,14,14,16,19,19,19,14,13,16,10,11,10,7,7,11,18,12,12,14,14,18,13,5,2
12,Jim Jackson,1999-00,ATL,79,27,52,0.342,35.0,6.4,15.6,0.411,1.5,3.8,0.386,2.4,2.7,0.877,1.3,3.7,5.0,2.9,2.3,0.7,0.1,0.6,2.1,0.1,16.7,-3.7,27.2,4,0,2,6,1,10,7,2,2,10,4,3,6,6,6,3,6,5,5,7,5,11,8,6,11,2,2,12,4,3,2
10,Antoine Walker,1999-00,BOS,82,35,47,0.427,36.6,7.9,18.4,0.43,0.9,3.5,0.256,3.8,5.4,0.699,2.4,5.5,8.0,3.7,3.2,1.4,0.4,1.7,3.2,0.1,20.5,-0.1,37.9,23,1,1,7,2,9,7,5,6,3,12,11,13,1,3,3,4,9,9,5,5,6,10,1,3,4,4,6,6,7,6
9,Kenny Anderson,1999-00,BOS,82,35,47,0.427,31.6,5.3,12.0,0.44,1.0,2.7,0.386,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.6,1.7,0.1,0.7,2.8,0.1,14.0,1.2,28.8,6,0,1,3,1,7,4,2,2,3,3,3,3,5,3,5,5,6,5,6,6,3,5,4,1,1,2,4,2,2,1
17,Paul Pierce,1999-00,BOS,73,34,39,0.466,35.4,6.7,15.1,0.442,1.3,3.8,0.343,4.9,6.2,0.798,1.1,4.3,5.4,3.0,2.4,2.1,0.8,0.9,3.2,0.4,19.5,2.5,37.0,6,0,12,15,4,14,10,9,7,12,17,13,16,11,9,12,4,14,11,14,12,1,3,10,1,13,10,7,8,11,7
9,Vitaly Potapenko,1999-00,BOS,79,35,44,0.443,22.7,3.9,7.8,0.499,0.0,0.0,0.0,1.4,2.0,0.681,2.3,4.0,6.3,1.0,1.8,0.5,0.4,0.6,3.0,0.2,9.2,0.1,19.0,10,0,4,5,2,9,4,2,2,5,2,4,2,4,3,7,3,3,2,2,2,4,5,2,3,2,2,2,3,1,1
3,Anthony Mason,1999-00,CHH,82,49,33,0.598,38.2,3.9,8.1,0.48,0.0,0.0,0.0,3.8,5.1,0.746,1.8,6.8,8.5,4.5,2.0,0.9,0.4,0.9,2.7,0.3,11.6,2.1,30.3,22,3,1,2,2,4,5,4,4,6,3,4,3,3,3,2,4,4,4,2,3,3,2,3,3,1,4,1,4,4,2
9,David Wesley,1999-00,CHH,82,49,33,0.598,33.6,5.0,11.6,0.426,1.1,3.0,0.355,2.6,3.4,0.778,0.5,2.3,2.7,5.6,1.9,1.3,0.1,0.6,2.3,0.3,13.6,1.0,27.8,7,0,1,2,4,3,9,7,7,5,10,10,7,5,5,9,7,4,4,4,6,7,8,8,10,3,8,6,5,4,1
5,Derrick Coleman,1999-00,CHH,74,43,31,0.581,31.8,6.0,13.2,0.456,0.7,1.9,0.362,4.0,5.1,0.785,1.7,6.9,8.5,2.4,2.3,0.5,1.8,1.0,2.6,0.1,16.7,1.0,34.9,27,0,1,1,3,2,5,3,3,1,1,2,2,3,4,3,6,3,5,3,4,7,1,6,4,1,3,3,3,3,1
10,Eddie Jones,1999-00,CHH,72,47,25,0.653,38.9,6.6,15.5,0.427,1.8,4.7,0.375,5.0,5.8,0.864,1.1,3.6,4.8,4.2,2.2,2.7,0.7,0.7,2.4,0.8,20.1,5.0,40.0,1,0,7,4,6,7,2,1,1,8,6,6,7,2,2,1,2,4,3,1,2,2,6,5,9,5,1,4,1,5,1
9,Elden Campbell,1999-00,CHH,78,45,33,0.577,32.5,4.7,10.6,0.446,0.0,0.1,0.0,3.2,4.6,0.69,2.2,5.4,7.6,1.7,1.6,0.7,1.9,0.7,3.4,0.1,12.7,1.5,30.5,20,0,2,4,2,9,3,4,4,5,3,1,3,5,5,8,4,3,4,2,5,4,1,6,3,1,5,4,3,2,1
16,Elton Brand,1999-00,CHI,81,17,64,0.21,37.0,7.8,16.1,0.482,0.0,0.0,0.0,4.5,6.6,0.685,4.3,5.7,10.0,1.9,2.8,0.8,1.6,1.5,3.2,0.3,20.1,-8.0,39.5,42,0,1,13,1,14,8,4,3,10,3,7,3,5,3,14,3,9,5,9,2,10,8,1,4,12,4,16,8,4,2
20,Metta World Peace,1999-00,CHI,72,16,56,0.222,31.1,4.3,10.5,0.407,0.8,2.7,0.314,2.6,3.9,0.674,0.9,3.4,4.3,2.7,2.3,1.7,0.5,0.9,2.2,0.2,12.0,-4.8,25.5,0,0,6,11,2,17,11,12,12,10,14,14,12,11,9,14,15,10,13,11,6,11,12,9,13,13,11,18,13,11,1
24,Andre Miller,1999-00,CLE,82,32,50,0.39,25.6,4.1,9.2,0.449,0.1,0.6,0.204,2.8,3.6,0.774,1.0,2.4,3.4,5.8,2.0,1.0,0.2,1.1,2.4,0.4,11.1,-1.3,25.6,8,1,1,11,4,16,15,13,13,18,12,12,13,12,12,15,12,13,12,14,15,13,6,3,8,16,13,19,13,12,3
7,Bob Sura,1999-00,CLE,73,30,43,0.411,30.4,4.9,11.2,0.437,1.7,4.5,0.367,2.4,3.4,0.697,0.7,3.3,3.9,3.9,2.0,1.2,0.3,0.7,2.8,0.5,13.8,-2.6,26.9,4,0,3,4,2,7,4,1,2,1,1,1,1,4,5,5,7,4,4,5,5,1,3,1,2,1,2,9,2,4,2
14,Brevin Knight,1999-00,CLE,65,27,38,0.415,27.1,3.5,8.6,0.412,0.0,0.2,0.2,2.2,2.8,0.761,0.6,2.4,3.0,7.0,2.4,1.6,0.3,0.4,2.8,0.5,9.3,-1.9,26.9,12,0,6,3,4,4,7,3,3,9,7,6,5,6,6,9,2,4,5,5,3,6,2,8,6,5,4,7,5,3,1
5,Lamond Murray,1999-00,CLE,74,27,47,0.365,32.0,6.2,13.8,0.451,0.7,1.9,0.367,2.8,3.6,0.761,1.7,4.0,5.7,1.8,2.5,1.4,0.5,0.7,2.8,0.2,15.9,-2.9,28.6,6,0,3,4,3,7,3,1,2,2,4,5,4,3,3,4,2,2,2,3,1,2,3,2,1,2,2,7,3,3,1
3,Shawn Kemp,1999-00,CLE,82,32,50,0.39,30.4,5.9,14.1,0.417,0.0,0.1,0.333,6.0,7.7,0.776,2.8,6.0,8.8,1.7,3.5,1.2,1.2,1.7,4.5,0.2,17.8,-1.6,34.6,35,0,1,6,1,7,4,4,2,6,4,4,4,2,2,3,3,4,4,4,1,3,1,2,1,1,4,7,4,3,1
10,Wesley Person,1999-00,CLE,79,29,50,0.367,26.0,3.5,8.3,0.428,1.3,3.2,0.424,0.8,1.0,0.792,0.6,2.8,3.4,1.8,0.8,0.5,0.2,0.3,1.5,0.1,9.2,-1.1,17.5,0,0,3,3,1,10,6,6,6,10,6,6,6,5,6,7,4,3,4,3,8,8,7,5,1,1,6,8,6,6,1
3,Cedric Ceballos,1999-00,DAL,69,33,36,0.478,29.9,6.5,14.5,0.446,0.6,1.9,0.328,3.0,3.6,0.843,2.5,4.2,6.7,1.3,1.8,0.8,0.3,1.3,2.4,0.2,16.6,-1.6,28.3,15,0,1,1,1,5,3,1,1,5,3,4,3,2,4,3,1,4,1,3,4,2,5,1,2,1,2,7,2,1,1
19,Dirk Nowitzki,1999-00,DAL,82,40,42,0.488,35.9,6.3,13.6,0.461,1.4,3.7,0.379,3.5,4.2,0.83,1.2,5.2,6.5,2.5,1.7,0.8,0.8,0.7,3.1,0.6,17.5,1.1,32.1,9,0,1,14,2,17,11,17,17,13,8,10,13,14,14,19,5,19,16,11,13,8,9,5,1,15,15,16,15,14,3
7,Erick Strickland,1999-00,DAL,68,36,32,0.529,29.8,4.6,10.7,0.433,1.1,2.7,0.392,2.4,2.9,0.831,1.0,3.7,4.8,3.1,1.5,1.5,0.2,0.7,2.8,1.0,12.8,1.1,26.8,5,0,3,3,3,3,1,1,1,1,2,3,2,1,1,5,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1
12,Michael Finley,1999-00,DAL,82,40,42,0.488,42.3,9.1,20.0,0.457,1.2,3.0,0.401,3.2,3.9,0.82,1.5,4.8,6.3,5.3,2.4,1.3,0.4,0.9,2.1,0.5,22.6,0.1,41.0,18,4,1,10,2,11,1,1,1,5,9,11,5,3,4,9,3,1,1,1,2,3,2,1,3,5,1,11,1,1,1
5,Shawn Bradley,1999-00,DAL,77,38,39,0.494,24.7,3.5,7.2,0.479,0.0,0.1,0.2,1.5,1.9,0.765,2.1,4.4,6.5,0.8,1.0,0.9,2.5,0.4,3.4,0.5,8.4,0.9,26.5,9,0,3,5,2,6,5,4,4,4,2,5,2,7,7,5,5,6,6,4,6,1,6,5,2,1,5,5,5,7,3
