,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
5,Dennis Schroder,2016-17,ATL,79,42,37,0.532,31.5,6.9,15.4,0.451,1.3,3.7,0.34,2.8,3.2,0.855,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.4,1.9,2.9,17.9,-1.0,31.3,10,0,2,4,2,6,3,3,2,2,4,5,5,5,5,1,3,5,5,1,1,3,3,2,6,5,3,7,2,1,1
5,Dwight Howard,2016-17,ATL,74,37,37,0.5,29.7,5.2,8.3,0.633,0.0,0.0,0.0,3.1,5.7,0.533,4.0,8.7,12.7,1.4,2.3,0.9,1.2,0.5,2.7,4.6,13.5,-1.5,34.9,53,0,10,10,5,11,14,12,13,2,9,13,9,15,13,13,2,11,6,8,13,9,14,15,17,14,13,16,12,7,2
7,Kent Bazemore,2016-17,ATL,73,39,34,0.534,26.9,4.0,9.9,0.409,1.3,3.6,0.346,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.7,1.2,0.7,0.4,2.3,2.0,11.0,-1.5,22.6,1,0,3,3,3,6,4,5,4,7,6,6,8,6,5,7,1,9,8,3,5,5,2,7,8,6,5,7,5,1,1
5,Paul Millsap,2016-17,ATL,69,40,29,0.58,34.0,6.2,14.1,0.442,1.1,3.5,0.311,4.5,5.9,0.768,1.6,6.1,7.7,3.7,2.3,1.3,0.9,0.8,2.7,4.5,18.1,2.0,37.1,19,0,11,9,8,10,2,4,2,15,1,1,11,1,1,3,14,3,6,1,3,7,10,8,12,2,1,10,3,5,2
7,Tim Hardaway Jr.,2016-17,ATL,79,42,37,0.532,27.3,5.3,11.5,0.455,1.9,5.3,0.357,2.1,2.7,0.766,0.4,2.4,2.8,2.3,1.3,0.7,0.2,0.6,1.3,2.2,14.5,2.0,22.6,0,0,2,1,4,5,7,6,7,1,7,7,4,4,3,9,3,7,7,4,3,4,2,4,9,5,7,3,7,3,1
5,Al Horford,2016-17,BOS,68,46,22,0.676,32.3,5.6,11.8,0.473,1.3,3.6,0.355,1.6,2.0,0.8,1.4,5.4,6.8,5.0,1.7,0.8,1.3,0.4,2.0,1.8,14.0,3.2,34.0,8,0,8,5,10,2,6,9,7,12,4,4,8,8,8,4,14,11,12,1,5,11,7,11,8,9,8,6,5,11,3
11,Avery Bradley,2016-17,BOS,55,34,21,0.618,33.4,6.5,14.1,0.463,2.0,5.0,0.39,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.6,1.2,0.2,1.1,2.6,1.3,16.3,1.3,29.6,10,0,5,5,8,4,2,1,2,4,2,3,4,5,4,14,1,1,1,2,3,3,5,3,4,4,1,4,1,1,1
9,Isaiah Thomas,2016-17,BOS,76,51,25,0.671,33.8,9.0,19.4,0.463,3.2,8.5,0.379,7.8,8.5,0.909,0.6,2.1,2.7,5.9,2.8,0.9,0.2,1.5,2.2,6.3,28.9,3.6,41.5,5,0,3,1,6,1,2,1,1,1,1,1,3,1,1,3,6,3,3,3,3,4,2,2,4,1,1,3,1,3,2
9,Jae Crowder,2016-17,BOS,72,48,24,0.667,32.4,4.6,10.0,0.463,2.2,5.5,0.398,2.4,3.0,0.811,0.7,5.1,5.8,2.2,1.1,1.0,0.3,0.2,2.2,2.2,13.9,4.9,26.9,7,0,5,1,7,5,1,2,3,2,3,6,2,2,2,4,6,2,2,2,4,5,8,11,6,2,2,3,2,1,1
7,Kelly Olynyk,2016-17,BOS,75,49,26,0.653,20.5,3.5,6.8,0.512,0.9,2.6,0.354,1.2,1.6,0.732,1.0,3.8,4.8,2.0,1.3,0.6,0.4,0.4,2.8,1.8,9.0,0.2,19.4,2,0,3,1,6,1,7,7,9,2,9,9,6,9,8,8,8,6,6,5,7,9,8,7,6,6,8,7,8,7,1
5,Marcus Smart,2016-17,BOS,79,51,28,0.646,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.6,3.2,0.812,1.0,2.9,3.9,4.6,2.0,1.6,0.4,0.6,2.4,3.2,10.6,1.6,26.1,2,0,2,1,3,3,4,5,5,7,7,6,7,2,2,2,2,4,3,5,3,4,3,2,8,2,4,6,4,3,2
5,Bojan Bogdanovic,2016-17,TOT,81,23,58,0.284,25.7,4.6,10.4,0.445,1.8,4.8,0.367,2.7,3.0,0.893,0.5,3.0,3.4,1.4,1.6,0.4,0.1,0.9,1.8,2.1,13.7,-3.3,19.8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Bojan Bogdanovic,2016-17,WAS,26,14,12,0.538,23.1,4.1,9.0,0.457,1.7,4.4,0.391,2.7,2.9,0.934,0.5,2.5,3.1,0.8,1.5,0.4,0.2,0.7,1.8,1.8,12.7,1.0,17.8,0,0,9,8,9,6,9,7,8,4,7,7,5,5,6,1,5,8,8,9,6,8,1,8,1,7,7,6,7,3,1
7,Bojan Bogdanovic,2016-17,BKN,55,9,46,0.164,27.0,4.9,11.1,0.44,1.8,5.0,0.357,2.7,3.0,0.874,0.4,3.2,3.6,1.6,1.7,0.4,0.1,0.9,1.8,2.3,14.2,-5.3,20.8,0,0,7,9,2,9,6,6,5,7,6,4,8,6,5,4,7,5,5,4,4,6,7,3,2,5,6,9,6,3,1
