,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
11,Al Horford,2010-11,ATL,77,41,36,0.532,35.1,6.7,12.0,0.557,0.0,0.1,0.5,1.9,2.4,0.798,2.4,7.0,9.3,3.5,1.5,0.8,1.0,0.5,2.5,2.3,15.3,0.6,35.5,36,0,4,7,2,12,3,4,6,2,11,13,2,5,7,6,4,3,4,6,6,10,12,7,4,6,3,11,3,3,3
9,Jamal Crawford,2010-11,ATL,76,40,36,0.526,30.2,4.8,11.5,0.421,1.6,4.6,0.341,2.9,3.4,0.854,0.3,1.4,1.7,3.2,1.9,0.8,0.2,0.5,1.3,2.2,14.2,0.0,21.9,0,0,9,8,8,10,10,11,13,6,11,11,13,11,11,11,9,13,13,12,10,15,12,8,13,12,13,8,14,8,1
12,Joe Johnson,2010-11,ATL,72,38,34,0.528,35.5,7.1,16.1,0.443,1.2,4.2,0.297,2.7,3.4,0.802,0.8,3.2,4.0,4.7,2.0,0.7,0.1,0.7,1.8,2.8,18.2,1.2,30.3,2,0,11,8,9,13,9,6,6,9,14,11,17,6,6,11,11,9,10,5,7,16,16,5,10,6,7,8,8,9,3
10,Josh Smith,2010-11,ATL,77,43,34,0.558,34.3,6.5,13.5,0.477,0.7,2.0,0.331,3.0,4.1,0.725,1.7,6.8,8.5,3.3,2.6,1.3,1.6,0.6,2.8,3.8,16.5,1.0,37.7,31,1,4,2,7,7,8,4,7,3,5,6,1,6,7,1,11,2,4,6,6,8,10,7,6,7,4,6,6,2,1
11,Marvin Williams,2010-11,ATL,65,34,31,0.523,28.7,3.8,8.3,0.458,0.6,1.7,0.336,2.3,2.7,0.845,1.0,3.8,4.8,1.4,1.0,0.5,0.4,0.5,1.6,2.0,10.4,-0.6,19.9,3,0,11,7,11,6,7,6,7,4,12,12,10,5,5,4,10,12,12,5,5,15,14,7,13,5,6,9,10,8,1
6,Glen Davis,2010-11,BOS,78,54,24,0.692,29.5,4.6,10.3,0.448,0.0,0.2,0.133,2.5,3.4,0.736,1.3,4.2,5.4,1.2,1.1,1.0,0.4,0.8,3.0,3.0,11.7,1.8,23.1,5,0,1,3,4,5,3,3,3,5,4,3,4,1,2,2,7,3,3,3,4,2,3,4,2,2,3,1,3,3,1
7,Kevin Garnett,2010-11,BOS,71,49,22,0.69,31.3,6.1,11.6,0.528,0.0,0.1,0.2,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.6,1.3,0.8,0.3,2.1,3.0,14.9,7.8,34.0,28,0,11,5,18,4,13,16,16,4,17,19,13,15,15,1,14,9,12,16,14,11,17,16,20,5,15,3,15,11,8
6,Paul Pierce,2010-11,BOS,80,55,25,0.688,34.7,6.3,12.8,0.497,1.4,3.7,0.374,4.8,5.6,0.86,0.4,5.0,5.4,3.3,2.1,1.0,0.6,0.6,2.9,4.4,18.9,7.4,33.0,7,1,5,3,14,3,11,12,14,1,15,15,10,12,13,1,16,10,12,10,15,15,7,15,7,8,12,2,14,8,3
17,Rajon Rondo,2010-11,BOS,68,47,21,0.691,37.2,4.7,9.9,0.475,0.1,0.6,0.233,1.1,1.9,0.568,1.3,3.1,4.4,11.2,3.4,2.3,0.2,0.8,1.8,2.3,10.6,6.5,36.4,31,3,7,4,9,4,2,7,6,6,17,16,17,10,10,14,1,14,11,3,4,2,4,6,15,7,7,2,5,3,4
3,Ray Allen,2010-11,BOS,80,55,25,0.688,36.1,6.0,12.2,0.491,2.1,4.7,0.444,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1.5,1.0,0.2,0.4,1.8,1.9,16.5,5.7,26.8,0,0,5,4,12,4,11,14,14,1,12,14,2,16,16,16,15,13,15,14,17,13,8,16,16,6,14,3,14,12,4
8,Boris Diaw,2010-11,CHA,82,34,48,0.415,33.9,4.6,9.4,0.492,1.0,2.8,0.345,1.0,1.5,0.683,1.3,3.8,5.0,4.1,2.0,0.9,0.6,0.4,2.3,1.7,11.3,-2.9,25.9,5,1,1,10,2,13,4,3,3,9,2,2,7,6,6,13,5,4,5,5,6,1,4,5,7,6,4,14,3,4,2
19,D.J. Augustin,2010-11,CHA,82,34,48,0.415,33.6,4.9,11.7,0.416,1.4,4.1,0.333,3.3,3.6,0.906,0.5,2.3,2.7,6.1,1.9,0.7,0.0,1.0,1.9,2.8,14.4,-3.1,27.0,7,0,1,5,3,11,1,1,1,7,7,3,16,1,2,3,3,1,1,2,5,5,8,1,3,4,2,14,1,1,1
6,Gerald Henderson,2010-11,CHA,68,29,39,0.426,24.4,3.8,8.4,0.454,0.1,0.5,0.194,1.9,2.4,0.785,0.7,2.3,3.0,1.5,0.9,0.7,0.5,0.5,1.7,2.3,9.6,-1.5,18.2,0,0,5,4,5,4,5,5,5,2,7,7,8,5,5,4,3,6,5,6,6,3,2,3,5,5,5,5,5,4,1
6,Gerald Wallace,2010-11,TOT,71,36,35,0.507,37.9,5.4,12.0,0.454,0.9,2.6,0.333,3.9,5.3,0.746,1.6,6.5,8.0,2.4,2.1,1.5,0.9,1.3,2.6,4.5,15.7,1.7,33.9,18,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
7,Gerald Wallace,2010-11,POR,23,15,8,0.652,35.7,5.8,11.7,0.498,1.2,3.5,0.338,3.0,3.9,0.767,1.7,5.9,7.6,2.5,2.3,2.0,0.7,1.0,2.7,4.2,15.8,5.6,34.4,4,0,15,14,16,3,8,4,6,4,2,2,3,8,9,5,4,4,4,7,4,3,10,9,4,8,5,1,6,9,1
8,Gerald Wallace,2010-11,CHA,48,21,27,0.438,39.0,5.3,12.1,0.433,0.7,2.2,0.33,4.4,5.9,0.739,1.5,6.7,8.2,2.4,2.1,1.2,1.0,1.4,2.5,4.6,15.6,-0.2,33.7,14,0,10,9,9,10,2,7,5,11,4,6,5,4,5,6,7,2,2,9,7,12,4,3,9,6,6,9,7,4,1
