,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
6,Alan Henderson,2000-01,ATL,73,20,53,0.274,24.8,4.1,9.2,0.444,0.0,0.0,0.0,2.4,3.7,0.638,2.5,3.1,5.6,0.7,1.7,0.7,0.4,1.1,2.2,0.0,10.5,-3.6,19.8,11,0,4,7,2,10,4,4,4,10,4,7,4,4,4,7,4,4,4,5,1,4,6,2,5,6,4,9,4,3,1
17,Jason Terry,2000-01,ATL,82,25,57,0.305,37.7,7.3,16.7,0.436,1.5,3.8,0.395,3.7,4.4,0.846,0.5,2.8,3.3,4.9,2.9,1.3,0.1,1.1,2.5,0.0,19.7,-3.7,32.4,3,0,1,18,1,19,3,2,1,8,13,13,5,1,1,9,4,4,4,6,2,6,15,1,1,16,1,19,3,7,2
10,Lorenzen Wright,2000-01,ATL,71,23,48,0.324,28.0,5.1,11.4,0.448,0.0,0.0,0.0,2.2,3.0,0.718,2.5,5.0,7.5,1.2,1.8,0.6,0.9,0.8,3.3,0.0,12.4,-4.2,26.0,22,0,5,6,3,10,5,2,1,9,3,8,3,1,3,2,5,5,5,1,1,8,3,3,3,8,1,14,2,1,1
9,Antoine Walker,2000-01,BOS,81,35,46,0.432,41.9,8.8,21.2,0.413,2.7,7.4,0.367,3.1,4.3,0.716,1.9,7.0,8.9,5.5,3.7,1.7,0.6,1.4,3.1,0.0,23.4,-1.5,45.5,38,5,6,7,3,8,2,2,1,8,2,3,2,3,6,2,8,1,4,1,1,2,6,6,5,9,1,8,1,2,1
1,Bryant Stith,2000-01,BOS,78,35,43,0.449,32.1,3.1,7.8,0.401,1.2,3.1,0.376,2.2,2.7,0.845,0.8,2.8,3.6,2.2,1.2,1.2,0.2,0.6,2.3,0.0,9.7,-1.6,20.3,0,0,1,1,1,2,2,2,2,3,2,2,2,3,3,5,2,1,2,2,2,1,5,3,1,2,2,2,2,1,1
16,Paul Pierce,2000-01,BOS,82,36,46,0.439,38.1,8.4,18.5,0.454,1.8,4.7,0.383,6.7,9.0,0.745,1.1,5.2,6.4,3.1,3.2,1.7,0.8,1.1,3.1,0.0,25.3,-0.9,41.9,12,0,1,13,2,15,5,4,5,7,4,6,8,4,3,18,3,7,7,12,5,5,4,5,3,17,4,18,4,6,7
8,Vitaly Potapenko,2000-01,BOS,82,36,46,0.439,23.2,3.0,6.4,0.476,0.0,0.0,0.0,1.4,1.9,0.728,2.5,3.5,6.0,0.8,1.3,0.6,0.3,0.5,2.8,0.0,7.5,-1.0,17.3,7,0,1,4,1,10,3,5,4,8,2,6,2,3,4,5,2,4,3,5,6,3,8,5,4,9,4,7,4,2,1
15,Baron Davis,2000-01,CHH,82,46,36,0.561,38.9,5.0,11.7,0.427,1.0,3.3,0.31,2.8,4.1,0.677,1.6,3.4,5.0,7.3,2.8,2.1,0.4,0.5,3.3,0.0,13.8,3.3,35.5,11,2,1,3,4,5,4,12,13,2,13,13,9,8,8,10,1,4,1,9,10,5,8,12,1,10,12,2,8,8,2
8,David Wesley,2000-01,CHH,82,46,36,0.561,37.9,6.4,15.1,0.422,1.2,3.1,0.376,3.3,4.1,0.799,0.8,2.0,2.7,4.4,2.1,1.6,0.2,0.8,2.7,0.0,17.2,1.4,30.3,1,0,1,3,3,6,2,1,1,6,8,8,3,1,1,5,2,8,5,5,4,4,5,2,5,5,1,4,3,5,1
8,Elden Campbell,2000-01,CHH,78,46,32,0.59,30.0,4.7,10.7,0.44,0.0,0.1,0.0,3.7,5.2,0.709,2.0,5.8,7.8,1.3,1.8,0.8,1.8,0.8,3.6,0.0,13.1,1.9,30.3,21,0,2,3,3,8,4,5,3,6,3,1,3,3,2,6,5,2,3,4,1,3,2,4,1,4,4,3,4,1,1
3,Jamal Mashburn,2000-01,CHH,76,42,34,0.553,39.4,7.5,18.3,0.413,1.4,3.8,0.356,3.7,4.8,0.766,1.2,6.4,7.6,5.4,2.8,1.1,0.2,1.1,2.4,0.0,20.1,2.1,38.4,21,1,2,3,2,7,3,4,4,5,4,2,5,4,3,6,3,1,1,2,2,3,6,3,4,3,4,5,1,1,2
7,P.J. Brown,2000-01,CHH,80,46,34,0.575,35.1,3.1,7.0,0.444,0.0,0.1,0.0,2.2,2.6,0.852,3.2,6.1,9.3,1.6,1.4,1.0,1.2,0.5,3.3,0.0,8.5,3.0,27.0,19,0,2,4,5,8,1,10,9,10,1,2,1,4,6,4,3,2,2,5,3,2,3,10,5,8,9,5,5,6,1
15,Elton Brand,2000-01,CHI,74,15,59,0.203,39.3,7.8,16.4,0.475,0.0,0.0,0.0,4.5,6.4,0.708,3.9,6.2,10.1,3.2,3.0,1.0,1.6,1.3,3.3,0.0,20.1,-6.2,41.8,37,0,8,14,2,15,2,3,2,12,3,2,3,6,5,12,5,5,4,2,1,8,10,2,3,14,3,15,6,8,2
4,Fred Hoiberg,2000-01,CHI,74,14,60,0.189,30.3,2.9,6.7,0.439,1.4,3.4,0.414,1.8,2.1,0.866,0.3,3.9,4.2,3.6,1.0,1.3,0.2,0.2,2.1,0.0,9.1,-4.9,22.9,3,0,4,7,1,8,1,1,2,3,1,1,4,2,2,4,2,1,1,1,2,1,2,4,2,3,1,9,1,1,1
5,Marcus Fizer,2000-01,CHI,72,14,58,0.194,22.0,3.9,9.0,0.43,0.1,0.5,0.256,1.6,2.2,0.727,1.1,3.3,4.3,1.1,1.7,0.4,0.3,0.8,2.4,0.0,9.5,-5.6,16.6,2,0,2,4,1,5,2,3,3,5,2,1,2,4,4,2,4,3,4,4,2,3,3,1,2,5,3,6,3,4,1
19,Metta World Peace,2000-01,CHI,76,15,61,0.197,31.1,4.3,10.7,0.401,0.6,1.9,0.291,2.8,3.7,0.75,0.8,3.1,3.9,3.0,2.1,2.0,0.6,0.9,3.3,0.0,11.9,-4.8,26.8,1,0,3,13,1,18,12,11,11,12,18,17,17,10,11,2,16,13,14,8,9,8,9,10,5,16,12,19,10,9,1
6,Ron Mercer,2000-01,CHI,61,10,51,0.164,41.5,8.2,18.4,0.446,0.2,0.8,0.304,3.1,3.7,0.825,1.2,2.7,3.9,3.3,2.1,1.3,0.4,0.8,2.4,0.0,19.7,-8.3,32.3,2,0,3,7,1,10,1,1,1,2,3,3,2,2,3,3,2,4,3,1,3,4,1,2,3,3,1,10,1,1,1
23,Andre Miller,2000-01,CLE,82,30,52,0.366,34.7,5.5,12.2,0.452,0.2,0.8,0.266,4.6,5.5,0.833,1.1,3.2,4.4,8.0,3.2,1.5,0.3,1.1,2.8,0.0,15.8,-0.7,35.2,22,0,1,12,2,18,10,4,4,17,5,7,4,1,2,4,8,3,5,4,1,5,2,2,2,18,4,14,2,2,7
