,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
10,Christian Laettner,1996-97,ATL,82,56,26,0.683,38.2,6.7,13.8,0.486,0.4,1.1,0.352,4.4,5.4,0.816,2.6,6.2,8.8,2.7,2.7,1.2,0.8,0.8,3.4,0.0,18.1,7.1,36.2,31,0,1,1,6,3,1,1,1,5,1,1,1,1,1,6,1,1,1,2,2,1,2,1,2,5,1,1,1,1,1
14,Dikembe Mutombo,1996-97,ATL,80,54,26,0.675,37.2,4.8,9.0,0.526,0.0,0.0,0.0,3.8,5.4,0.705,3.4,8.3,11.6,1.4,2.3,0.6,3.3,0.7,3.1,0.0,13.3,5.4,38.7,43,2,3,1,8,1,1,2,2,5,1,1,1,3,3,8,6,4,5,1,1,1,2,1,1,10,2,1,2,3,1
5,Mookie Blaylock,1996-97,ATL,78,53,25,0.679,39.2,6.4,14.9,0.432,2.8,7.7,0.366,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.4,2.7,0.3,0.3,1.8,0.0,17.4,7.5,39.2,14,0,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,1,4,3,2,2,1,1,1,1,4
10,Steven Smith,1996-97,ATL,72,50,22,0.694,39.2,6.8,15.9,0.429,1.8,5.4,0.335,4.6,5.5,0.847,1.3,2.1,3.3,4.2,2.4,0.9,0.3,0.6,2.4,0.0,20.1,4.8,31.5,2,0,5,3,7,3,1,1,1,5,1,1,8,3,3,8,4,5,5,1,2,4,3,3,5,4,1,3,2,1,1
4,Tyrone Corbin,1996-97,ATL,70,49,21,0.7,33.0,3.6,8.6,0.422,1.1,3.0,0.356,1.2,1.5,0.796,1.1,3.1,4.2,1.8,1.2,1.3,0.1,0.5,2.5,0.0,9.5,6.0,20.2,1,0,2,1,3,1,2,2,2,2,1,1,1,2,3,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1
13,Antoine Walker,1996-97,BOS,82,15,67,0.183,36.2,7.0,16.5,0.426,0.6,1.9,0.327,2.8,4.5,0.631,3.5,5.5,9.0,3.2,2.8,1.3,0.6,1.5,3.3,0.0,17.5,-6.8,36.1,33,2,1,11,1,13,8,8,8,5,13,13,6,6,5,5,1,9,3,8,9,7,5,4,2,8,8,12,8,3,2
12,David Wesley,1996-97,BOS,74,13,61,0.176,40.4,6.2,13.2,0.468,1.4,3.9,0.36,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.9,2.2,0.2,0.8,3.0,0.0,16.8,-5.5,36.2,15,0,4,11,1,11,1,2,4,1,5,4,5,3,2,7,1,3,1,1,1,1,6,1,1,5,2,12,1,1,1
16,Eric Williams,1996-97,BOS,72,13,59,0.181,33.8,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.752,1.7,2.8,4.6,1.8,1.9,1.0,0.2,1.2,3.0,0.0,15.0,-5.3,24.7,3,0,4,7,1,12,3,2,2,2,12,13,11,2,2,4,3,5,3,4,2,4,4,2,2,5,2,14,2,1,1
7,Rick Fox,1996-97,BOS,76,14,62,0.184,34.8,5.7,12.5,0.456,1.3,3.7,0.363,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.3,2.2,0.5,1.1,3.7,0.0,15.4,-4.7,33.1,4,0,5,8,1,8,1,1,1,2,3,3,3,1,1,3,1,1,1,1,2,1,2,1,2,3,1,8,1,1,1
3,Todd Day,1996-97,BOS,81,14,67,0.173,28.2,4.9,12.3,0.398,1.6,4.3,0.362,3.2,4.1,0.773,1.3,2.7,4.1,1.4,1.6,1.3,0.6,0.8,2.6,0.0,14.5,-3.6,25.8,1,0,1,3,1,4,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1
