,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
7,Al Horford,2014-15,ATL,76,56,20,0.737,30.5,6.8,12.7,0.538,0.1,0.5,0.306,1.4,1.9,0.759,1.7,5.4,7.2,3.2,1.3,0.9,1.3,0.5,1.6,1.7,15.2,3.8,33.9,14,1,5,1,11,1,11,3,5,6,8,8,11,10,9,10,10,12,10,9,11,4,5,5,15,11,5,5,6,8,1
7,DeMarre Carroll,2014-15,ATL,70,53,17,0.757,31.3,4.5,9.3,0.487,1.7,4.3,0.395,1.8,2.6,0.702,1.4,3.9,5.3,1.7,1.1,1.3,0.2,0.6,2.2,2.2,12.6,3.0,25.2,3,0,5,1,7,2,2,1,3,2,3,5,1,4,3,9,3,4,3,3,5,3,6,4,4,3,2,1,2,2,1
7,Dennis Schroder,2014-15,ATL,77,57,20,0.74,19.7,3.7,8.6,0.427,0.7,1.9,0.351,1.9,2.3,0.827,0.4,1.8,2.1,4.1,1.9,0.6,0.1,1.0,1.6,2.2,10.0,0.1,18.8,5,0,4,1,8,1,8,8,8,6,8,8,2,7,7,6,6,8,8,6,8,8,8,6,8,7,8,6,8,3,1
10,Jeff Teague,2014-15,ATL,73,53,20,0.726,30.5,5.6,12.2,0.46,1.0,2.8,0.343,3.8,4.4,0.862,0.4,2.1,2.5,7.0,2.8,1.7,0.4,0.9,1.9,4.0,15.9,5.3,33.1,10,0,5,1,10,1,6,2,4,3,5,6,9,3,3,6,5,7,7,5,3,1,3,4,9,3,2,1,2,6,1
9,Kyle Korver,2014-15,ATL,75,58,17,0.773,32.2,3.9,8.0,0.487,2.9,6.0,0.492,1.4,1.6,0.898,0.2,3.9,4.1,2.6,1.4,0.7,0.6,0.2,1.9,1.6,12.1,8.3,23.3,1,0,6,2,13,1,3,4,7,3,1,2,2,4,4,6,11,2,2,2,3,9,1,11,11,4,2,1,3,2,1
7,Paul Millsap,2014-15,ATL,73,55,18,0.753,32.7,6.1,12.7,0.476,1.1,3.0,0.356,3.5,4.6,0.757,1.9,5.9,7.8,3.1,2.3,1.8,0.9,0.9,2.8,4.0,16.7,5.6,36.5,15,0,9,1,13,1,5,6,6,10,3,3,5,4,4,6,12,5,5,4,4,3,7,5,11,5,5,1,5,7,2
13,Avery Bradley,2014-15,BOS,77,37,40,0.481,31.5,5.6,13.2,0.428,1.6,4.6,0.352,1.0,1.3,0.79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,0.6,2.3,1.2,13.9,-1.1,22.7,1,0,1,3,2,10,5,6,6,9,5,5,10,6,6,9,6,5,5,9,7,5,6,7,7,8,6,7,5,2,1
2,Brandon Bass,2014-15,BOS,82,40,42,0.488,23.5,4.2,8.3,0.504,0.1,0.4,0.281,2.1,2.6,0.79,1.7,3.2,4.9,1.3,1.0,0.5,0.4,0.7,1.7,1.9,10.6,-2.2,19.9,5,0,1,5,3,8,5,4,4,5,1,1,3,5,4,10,3,5,5,1,6,3,9,2,8,5,4,9,4,2,1
5,Evan Turner,2014-15,BOS,82,40,42,0.488,27.6,3.9,9.1,0.429,0.4,1.5,0.277,1.3,1.7,0.752,0.5,4.6,5.1,5.5,2.4,1.0,0.2,0.5,2.2,1.6,9.5,-1.2,25.1,7,3,1,4,2,8,4,5,4,5,6,5,6,6,4,7,7,4,4,1,2,2,7,8,3,5,4,6,3,3,1
2,Jared Sullinger,2014-15,BOS,58,26,32,0.448,27.0,5.4,12.2,0.439,0.9,3.2,0.283,1.7,2.2,0.744,2.5,5.1,7.6,2.3,1.3,0.8,0.7,0.6,2.6,2.2,13.3,-0.4,29.0,12,0,3,2,3,3,2,1,1,2,1,1,1,2,2,3,2,2,3,1,2,2,1,3,3,2,1,4,1,3,1
