,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
13,Jeff Teague,2011-12,ATL,66,40,26,0.606,33.1,4.8,10.2,0.476,0.8,2.3,0.342,2.1,2.8,0.757,0.3,2.1,2.4,4.9,2.0,1.6,0.6,0.9,2.2,2.3,12.6,3.5,27.2,3,0,9,7,7,3,1,7,7,1,9,9,10,9,9,14,9,8,8,9,9,2,1,6,3,9,8,2,8,8,1
11,Joe Johnson,2011-12,ATL,60,36,24,0.6,35.4,7.1,15.5,0.454,2.1,5.4,0.388,2.6,3.1,0.849,0.9,2.8,3.7,3.9,1.9,0.8,0.2,0.4,1.3,2.8,18.8,4.0,30.2,0,0,13,11,14,7,10,7,8,6,3,4,5,7,7,3,8,14,12,9,8,10,9,12,17,7,6,5,9,14,3
9,Josh Smith,2011-12,ATL,66,40,26,0.606,35.3,7.6,16.7,0.458,0.4,1.7,0.257,3.1,4.9,0.63,2.1,7.5,9.6,3.9,2.5,1.4,1.7,0.7,2.6,4.1,18.8,4.1,43.1,28,0,10,4,10,4,6,1,1,5,9,8,9,4,5,6,4,1,1,4,7,3,7,6,9,5,1,2,1,4,4
5,Brandon Bass,2011-12,BOS,59,37,22,0.627,31.7,5.1,10.7,0.479,0.0,0.0,0.0,2.2,2.8,0.81,1.6,4.6,6.2,0.9,1.1,0.6,0.9,1.0,2.3,2.2,12.5,2.7,24.7,7,0,8,7,9,3,1,1,1,10,4,10,4,4,3,9,4,1,1,5,3,1,1,1,3,2,1,1,1,1,1
6,Kevin Garnett,2011-12,BOS,60,37,23,0.617,31.1,6.5,13.0,0.503,0.1,0.2,0.333,2.7,3.2,0.857,1.1,7.1,8.2,2.9,1.8,0.9,1.0,0.4,2.4,2.9,15.8,4.5,34.1,21,0,15,13,16,8,15,14,14,7,11,15,2,12,14,2,18,12,14,13,13,19,14,13,13,6,13,7,14,14,8
5,Paul Pierce,2011-12,BOS,61,38,23,0.623,34.0,6.5,14.6,0.443,1.6,4.5,0.366,4.8,5.6,0.852,0.6,4.6,5.2,4.5,2.8,1.1,0.4,0.8,2.4,4.4,19.4,3.1,34.2,6,0,16,12,16,7,12,10,9,10,7,8,13,13,12,3,13,11,13,5,7,11,12,13,16,7,11,6,11,11,7
16,Rajon Rondo,2011-12,BOS,53,31,22,0.585,36.9,4.8,10.8,0.448,0.2,0.8,0.238,2.0,3.4,0.597,1.2,3.7,4.8,11.7,3.6,1.8,0.1,0.8,1.9,3.5,11.9,3.7,37.2,21,6,9,8,8,10,3,4,5,9,15,15,16,3,2,12,4,8,8,1,3,6,17,3,13,1,5,6,4,4,1
2,Ray Allen,2011-12,BOS,46,23,23,0.5,34.0,4.9,10.7,0.458,2.3,5.1,0.453,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.5,1.1,0.2,0.4,1.8,1.9,14.2,2.1,23.7,0,0,18,17,13,14,16,16,17,6,11,11,1,17,17,3,19,14,17,17,16,11,12,17,17,7,16,11,16,12,4
4,Byron Mullens,2011-12,CHA,65,7,58,0.108,22.5,3.9,9.1,0.425,0.2,0.8,0.235,1.4,1.7,0.821,1.5,3.6,5.0,0.9,1.1,0.3,0.8,0.5,2.1,1.2,9.3,-5.6,18.9,6,0,1,5,1,5,2,2,2,2,4,4,4,1,2,1,1,2,2,2,2,3,1,2,1,2,2,5,2,2,1
5,Gerald Henderson,2011-12,CHA,55,6,49,0.109,33.3,6.0,13.1,0.459,0.2,0.9,0.234,2.8,3.7,0.76,1.2,2.9,4.1,2.3,1.8,0.9,0.4,0.6,2.3,4.0,15.1,-8.9,25.4,1,0,7,8,2,8,1,1,1,1,6,6,6,3,3,7,1,3,1,4,1,2,4,2,1,2,2,8,2,3,1
