,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
12,Al Horford,2009-10,ATL,81,52,29,0.642,35.1,5.8,10.5,0.551,0.0,0.0,1.0,2.6,3.3,0.789,2.9,7.0,9.9,2.3,1.5,0.7,1.1,0.7,2.8,3.0,14.2,5.7,33.6,39,0,2,2,5,4,2,7,11,4,12,15,1,1,1,7,2,4,2,13,8,13,9,1,3,1,7,1,7,2,3
10,Jamal Crawford,2009-10,ATL,79,51,28,0.646,31.1,6.3,14.0,0.449,2.1,5.4,0.382,3.4,4.0,0.857,0.4,2.1,2.5,3.0,1.7,0.8,0.2,0.6,1.7,3.0,18.0,3.2,26.6,0,0,6,1,14,5,8,5,8,3,5,9,4,7,7,9,7,7,7,13,12,14,16,4,8,3,5,4,8,8,1
13,Joe Johnson,2009-10,ATL,76,50,26,0.658,38.0,8.4,18.2,0.458,1.7,4.6,0.369,2.9,3.5,0.818,1.0,3.7,4.6,4.9,1.9,1.1,0.1,0.7,1.9,2.9,21.3,4.6,35.7,4,0,10,2,13,5,7,2,3,5,8,7,10,5,5,9,6,4,4,4,9,3,18,6,8,5,4,2,5,3,3
11,Josh Smith,2009-10,ATL,81,52,29,0.642,35.4,6.2,12.3,0.505,0.0,0.1,0.0,3.2,5.2,0.618,2.8,6.0,8.7,4.2,2.4,1.6,2.1,0.8,3.0,4.3,15.7,4.9,41.2,27,1,1,1,8,3,4,6,8,1,14,14,14,3,3,7,1,6,2,3,8,1,4,2,4,4,7,1,4,5,1
12,Marvin Williams,2009-10,ATL,81,52,29,0.642,30.5,3.7,8.2,0.455,0.5,1.6,0.303,2.2,2.7,0.819,1.3,3.8,5.1,1.1,0.9,0.8,0.6,0.5,2.0,1.9,10.1,3.0,21.3,3,0,1,1,12,1,4,7,9,5,13,13,13,6,6,8,7,8,8,12,6,7,5,6,7,6,8,2,7,8,1
5,Mike Bibby,2009-10,ATL,80,52,28,0.65,27.4,3.4,8.1,0.416,1.6,4.1,0.389,0.9,1.0,0.861,0.3,2.1,2.3,3.9,1.1,0.8,0.0,0.1,2.0,1.1,9.1,4.5,19.2,0,0,6,3,8,5,14,14,13,12,10,9,7,13,13,2,13,15,14,14,15,13,16,13,8,7,14,3,13,12,3
11,Kendrick Perkins,2009-10,BOS,78,48,30,0.615,27.6,4.0,6.7,0.602,0.0,0.0,0.0,2.1,3.6,0.582,2.0,5.6,7.6,1.0,2.1,0.3,1.7,0.8,2.8,2.9,10.1,3.6,24.8,14,0,1,4,3,9,2,1,1,2,1,2,1,1,1,9,4,3,4,8,2,7,2,3,10,1,1,4,2,1,1
8,Kevin Garnett,2009-10,BOS,69,44,25,0.638,29.9,5.8,11.2,0.521,0.0,0.1,0.2,2.7,3.2,0.837,1.1,6.2,7.3,2.7,1.5,1.0,0.8,0.3,2.5,2.9,14.3,4.5,31.1,10,0,13,9,12,5,16,17,17,6,16,18,13,13,13,4,15,16,17,14,17,17,16,14,9,7,17,6,17,17,8
7,Paul Pierce,2009-10,BOS,71,45,26,0.634,34.0,5.8,12.2,0.472,1.5,3.7,0.414,5.2,6.1,0.852,0.5,3.8,4.4,3.1,2.3,1.2,0.4,0.7,2.8,5.1,18.3,3.5,30.6,1,0,14,5,13,6,14,15,15,2,9,16,1,9,10,2,15,16,16,13,14,10,10,14,10,5,14,5,15,16,7
18,Rajon Rondo,2009-10,BOS,81,49,32,0.605,36.6,5.7,11.2,0.508,0.2,1.0,0.213,2.2,3.5,0.621,1.2,3.2,4.4,9.8,3.0,2.3,0.1,0.8,2.4,3.3,13.7,3.7,38.1,40,2,1,3,4,8,4,2,3,1,14,14,18,1,1,9,3,12,10,6,7,1,11,2,2,2,2,5,3,1,6
