,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
9,Alan Henderson,1997-98,ATL,69,42,27,0.609,29.1,5.3,10.9,0.485,0.0,0.1,0.5,3.7,5.6,0.652,2.9,3.5,6.4,1.1,1.6,0.6,0.5,1.1,2.5,0.0,14.3,1.3,25.3,12,0,5,2,5,3,3,1,3,5,1,2,2,1,1,6,2,3,3,1,3,5,3,3,2,5,1,1,2,2,1
9,Christian Laettner,1997-98,ATL,74,47,27,0.635,30.9,4.8,9.9,0.485,0.1,0.4,0.222,4.1,4.8,0.864,1.9,4.7,6.6,2.6,2.5,1.0,1.0,0.6,3.3,0.0,13.8,2.3,28.9,10,0,4,2,5,4,2,2,2,6,5,4,7,2,3,2,3,3,4,4,3,6,1,3,3,2,2,3,2,3,1
13,Dikembe Mutombo,1997-98,ATL,82,50,32,0.61,35.5,4.9,9.1,0.537,0.0,0.0,0.0,3.7,5.5,0.67,3.4,8.0,11.4,1.0,2.0,0.4,3.4,0.6,3.1,0.0,13.4,5.1,37.9,47,0,1,2,5,8,5,1,1,4,1,1,1,4,2,13,5,5,6,6,3,2,1,4,2,6,1,2,3,1,4
4,Mookie Blaylock,1997-98,ATL,70,44,26,0.629,38.5,5.3,13.4,0.392,1.3,4.8,0.269,1.4,1.9,0.709,1.2,3.7,4.9,6.7,2.5,2.6,0.3,0.3,1.7,0.0,13.2,5.9,35.2,9,2,3,2,3,2,2,2,3,3,4,3,6,3,2,3,2,3,2,1,1,2,2,2,3,2,3,2,2,3,1
9,Steven Smith,1997-98,ATL,73,45,28,0.616,39.1,6.7,15.1,0.444,1.3,3.8,0.351,5.3,6.2,0.855,1.8,2.4,4.2,4.0,2.4,1.0,0.4,0.7,3.0,0.0,20.1,2.8,33.0,1,0,4,5,4,6,2,2,2,4,3,3,5,1,2,5,1,2,1,2,3,1,1,2,1,3,2,6,1,2,1
3,Tyrone Corbin,1997-98,ATL,79,49,30,0.62,34.1,4.2,9.5,0.439,0.6,1.8,0.348,1.3,1.6,0.789,1.0,3.6,4.6,2.2,1.1,1.3,0.1,0.4,2.5,0.0,10.2,4.3,22.2,1,0,1,1,1,3,1,1,1,1,3,3,2,1,2,3,2,1,1,1,2,1,4,3,2,3,1,2,1,1,1
12,Antoine Walker,1997-98,BOS,82,36,46,0.439,39.9,8.8,20.8,0.423,1.1,3.6,0.312,3.7,5.8,0.645,3.3,6.9,10.2,3.3,3.6,1.7,0.7,1.5,3.2,0.0,22.4,-3.3,43.5,47,1,1,6,3,7,5,1,3,6,8,10,10,2,1,4,2,4,1,7,2,1,3,3,4,6,2,10,2,1,6
5,Dana Barros,1997-98,BOS,80,36,44,0.45,21.1,3.5,7.6,0.461,1.3,3.1,0.407,1.5,1.8,0.847,0.4,1.6,1.9,3.6,1.3,1.0,0.1,0.3,1.6,0.0,9.8,-0.5,19.5,1,0,1,1,1,3,3,2,2,2,3,3,4,3,2,6,1,4,4,2,3,3,3,2,2,2,2,3,3,2,1
11,Ron Mercer,1997-98,BOS,80,35,45,0.438,33.2,6.4,14.3,0.45,0.0,0.4,0.107,2.4,2.8,0.839,1.4,2.1,3.5,2.2,1.7,1.6,0.2,0.4,2.7,0.0,15.3,-1.2,26.4,0,0,1,2,2,7,5,5,6,1,8,6,8,4,4,2,1,5,5,5,6,2,7,6,1,3,5,4,5,3,1
10,Walter McCarty,1997-98,BOS,82,36,46,0.439,28.6,3.6,8.9,0.404,0.7,2.1,0.309,1.8,2.4,0.742,1.7,2.7,4.4,2.2,1.7,1.3,0.5,0.4,3.3,0.0,9.6,-2.6,22.1,1,0,1,2,1,6,1,1,1,4,6,4,8,1,1,3,1,3,1,1,1,1,1,1,1,3,1,11,1,1,1
4,Anthony Mason,1997-98,CHH,81,50,31,0.617,38.9,4.8,9.4,0.509,0.0,0.0,0.0,3.2,5.0,0.649,2.2,8.0,10.2,4.2,1.8,0.8,0.2,0.8,2.2,0.1,12.8,1.9,32.8,32,0,3,1,4,2,3,3,3,2,3,1,3,4,4,6,2,2,2,3,4,4,5,4,6,2,3,2,3,3,3
2,Bobby Phills,1997-98,CHH,62,40,22,0.645,30.5,4.0,8.9,0.446,0.7,1.8,0.386,1.7,2.3,0.757,1.0,2.5,3.5,3.0,1.7,1.3,0.3,0.5,2.9,0.1,10.4,1.9,22.1,0,0,2,1,2,1,3,4,4,2,4,4,3,3,4,1,1,3,3,3,3,4,3,4,1,2,4,1,4,2,1
11,David Wesley,1997-98,CHH,81,50,31,0.617,35.1,4.7,10.7,0.443,0.7,2.1,0.347,2.8,3.6,0.795,0.6,2.0,2.6,6.5,2.8,1.7,0.4,0.7,2.8,0.0,13.0,1.7,29.5,11,0,3,1,5,2,7,9,9,3,11,11,9,4,4,6,4,7,7,2,3,3,1,5,3,5,9,3,4,2,1
6,Glen Rice,1997-98,CHH,82,51,31,0.622,40.2,7.7,16.9,0.457,1.6,3.7,0.433,5.2,6.1,0.849,1.1,3.2,4.3,2.2,2.2,0.9,0.3,0.8,2.4,0.0,22.3,2.1,32.2,2,0,1,3,2,3,2,2,2,2,4,4,2,2,2,6,1,4,1,2,2,1,2,1,2,2,2,4,2,2,1
4,Matt Geiger,1997-98,CHH,78,48,30,0.615,23.6,4.6,9.1,0.505,0.0,0.1,0.091,2.2,3.0,0.712,2.5,4.2,6.7,1.0,1.4,0.9,1.1,0.7,2.4,0.0,11.3,-0.6,25.4,18,0,1,1,1,3,2,2,2,1,3,2,3,2,2,3,2,2,2,2,2,1,1,1,4,4,2,4,2,1,1
7,Vlade Divac,1997-98,CHH,64,40,24,0.625,28.2,4.2,8.4,0.498,0.0,0.2,0.214,2.0,2.9,0.691,2.9,5.2,8.1,2.7,1.8,1.3,1.5,0.5,2.8,0.0,10.4,3.2,30.7,17,0,7,7,5,6,8,6,6,2,6,5,7,8,8,3,2,6,5,8,8,1,2,8,7,5,6,6,5,6,6
3,Luc Longley,1997-98,CHI,58,42,16,0.724,29.4,4.8,10.5,0.455,0.0,0.0,0.0,1.9,2.6,0.736,1.9,3.9,5.9,2.8,2.2,0.6,1.1,1.2,3.6,0.0,11.4,4.4,25.4,4,0,3,3,3,2,1,1,1,4,1,2,1,1,1,5,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1
2,Michael Jordan,1997-98,CHI,82,62,20,0.756,38.8,10.7,23.1,0.465,0.4,1.5,0.238,6.9,8.8,0.784,1.6,4.2,5.8,3.5,2.3,1.7,0.5,0.9,1.8,0.0,28.7,7.3,45.4,5,0,1,2,3,2,1,2,1,2,2,2,3,1,1,4,1,4,3,4,2,1,1,1,4,1,2,2,2,4,2
3,Ron Harper,1997-98,CHI,82,62,20,0.756,27.9,3.6,8.1,0.441,0.2,1.0,0.19,2.0,2.6,0.75,1.3,2.2,3.5,2.9,1.1,1.3,0.6,0.6,2.2,0.0,9.3,5.6,22.6,0,0,1,3,2,3,2,2,2,2,5,5,5,2,2,1,2,4,3,3,4,2,2,2,2,3,2,1,2,3,1
6,Scottie Pippen,1997-98,CHI,44,36,8,0.818,37.6,7.2,16.0,0.448,1.4,4.4,0.318,3.4,4.4,0.777,1.2,4.0,5.2,5.8,2.5,1.8,1.0,0.8,2.6,0.0,19.2,7.4,39.9,4,0,7,6,8,2,3,2,2,4,3,2,5,1,1,2,5,5,6,3,6,3,1,1,1,2,2,2,2,6,2
12,Toni Kukoc,1997-98,CHI,74,57,17,0.77,30.2,5.2,11.4,0.455,0.9,2.4,0.362,2.1,3.0,0.708,1.6,2.8,4.4,4.2,2.1,1.0,0.5,0.4,2.0,0.0,13.3,6.4,27.4,5,0,1,1,7,3,4,4,4,4,6,8,3,7,7,8,2,9,6,6,5,6,3,6,4,6,4,2,5,3,3
16,Brevin Knight,1997-98,CLE,80,45,35,0.563,31.1,3.3,7.4,0.441,0.0,0.1,0.0,2.5,3.1,0.801,0.8,2.3,3.2,8.2,2.4,2.5,0.2,0.6,3.4,0.0,9.0,3.7,30.7,12,0,1,1,7,2,2,6,7,1,10,11,10,4,3,7,1,5,4,3,2,1,3,3,1,7,6,1,2,3,1
4,Cedric Henderson,1997-98,CLE,82,47,35,0.573,30.8,4.2,8.8,0.48,0.0,0.0,0.0,1.7,2.3,0.716,0.9,3.1,4.0,2.0,2.0,1.2,0.5,0.8,2.9,0.0,10.1,1.5,21.1,0,0,1,1,3,1,1,1,2,2,5,5,5,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1
12,Derek Anderson,1997-98,CLE,66,40,26,0.606,27.8,3.6,8.9,0.408,0.3,1.3,0.202,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.9,1.3,0.2,0.5,2.1,0.0,11.7,1.7,22.8,1,0,4,4,5,5,6,5,5,5,12,12,12,3,3,3,3,10,7,5,4,3,3,3,6,6,5,4,5,5,2
5,Shawn Kemp,1997-98,CLE,80,47,33,0.588,34.6,6.5,14.6,0.445,0.0,0.1,0.25,5.1,7.0,0.727,2.7,6.6,9.3,2.5,3.4,1.4,1.1,1.6,3.9,0.0,18.0,3.1,36.9,41,0,3,2,3,3,2,3,1,3,3,3,5,4,4,7,4,1,2,1,3,2,2,3,3,4,3,2,3,2,1
12,Wesley Person,1997-98,CLE,82,47,35,0.573,39.0,5.4,11.7,0.46,2.3,5.5,0.43,1.6,2.1,0.776,0.8,3.6,4.4,2.3,1.3,1.6,0.6,0.5,1.3,0.0,14.7,2.1,28.6,0,0,1,1,5,2,1,2,2,4,1,1,5,1,1,8,2,1,1,1,1,1,1,2,3,2,2,1,1,6,1
12,Zydrunas Ilgauskas,1997-98,CLE,82,47,35,0.573,29.0,5.5,10.7,0.518,0.0,0.0,0.25,2.8,3.7,0.762,3.4,5.4,8.8,0.9,1.8,0.6,1.6,0.7,3.5,0.0,13.9,2.6,30.8,35,0,1,5,5,7,7,7,8,1,5,9,5,7,7,8,4,2,2,9,9,4,5,6,4,8,7,5,7,1,1
4,Dennis Scott,1997-98,TOT,81,29,52,0.358,28.2,4.1,10.2,0.397,1.5,4.2,0.365,1.3,1.6,0.808,0.6,2.5,3.0,1.9,1.3,0.7,0.5,0.4,1.9,0.0,11.0,-1.8,19.6,0,0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
5,Dennis Scott,1997-98,PHX,29,19,10,0.655,17.0,2.4,5.6,0.438,1.1,2.4,0.449,0.3,0.4,0.667,0.3,1.4,1.7,0.8,0.4,0.3,0.2,0.2,1.1,0.0,6.2,4.6,10.9,0,0,4,2,5,1,5,4,4,2,5,5,1,5,5,5,3,4,4,5,5,5,3,4,6,2,4,1,4,1,1
6,Dennis Scott,1997-98,DAL,52,10,42,0.192,34.5,5.0,12.8,0.387,1.8,5.3,0.344,1.9,2.3,0.822,0.8,3.0,3.8,2.5,1.8,0.8,0.6,0.5,2.3,0.0,13.6,-5.3,24.4,0,0,3,4,2,6,1,1,1,4,2,2,5,1,1,2,1,1,1,1,1,2,1,1,1,2,1,6,1,1,1
10,Hubert Davis,1997-98,DAL,81,20,61,0.247,29.4,4.3,9.5,0.456,1.2,2.8,0.439,1.2,1.4,0.836,0.4,1.7,2.1,2.0,1.1,0.5,0.1,0.4,1.4,0.0,11.1,-3.3,17.2,0,0,1,5,1,10,1,1,1,3,3,2,5,2,1,6,2,2,2,3,4,3,1,2,4,3,1,9,1,1,1
2,Khalid Reeves,1997-98,DAL,82,20,62,0.244,23.8,3.0,7.2,0.418,0.7,1.9,0.368,2.0,2.6,0.775,0.7,1.6,2.3,2.8,1.6,1.0,0.1,0.5,2.4,0.0,8.7,-1.7,17.4,0,0,1,1,1,4,2,2,2,1,2,3,2,1,1,2,3,1,2,4,4,1,3,2,4,1,1,3,2,3,1
14,Michael Finley,1997-98,DAL,82,20,62,0.244,41.4,8.2,18.4,0.449,1.1,3.0,0.357,4.0,5.1,0.784,1.8,3.5,5.3,4.9,2.7,1.6,0.4,0.6,2.0,0.0,21.5,-5.0,38.6,9,1,1,11,1,16,3,4,3,6,12,12,11,1,1,13,1,7,3,2,1,1,4,7,4,9,3,16,2,2,2
7,Shawn Bradley,1997-98,DAL,64,17,47,0.266,28.5,4.7,11.1,0.422,0.0,0.0,0.333,2.0,2.8,0.722,2.6,5.5,8.1,0.9,1.5,0.8,3.3,0.5,3.3,0.1,11.4,-2.0,33.5,19,1,6,8,1,9,3,3,3,10,1,6,1,2,3,7,4,2,3,2,3,3,2,3,3,3,3,8,3,1,2
11,Anthony Goldwire,1997-98,DEN,82,11,71,0.134,26.9,3.3,7.7,0.424,0.8,2.0,0.384,1.8,2.3,0.806,0.5,1.3,1.8,3.4,1.0,1.0,0.1,0.6,1.8,0.0,9.2,-6.3,18.7,0,0,1,2,1,11,1,1,1,3,4,4,5,1,1,5,1,3,2,2,3,1,1,1,1,1,1,11,1,3,1
13,Bobby Jackson,1997-98,DEN,68,8,60,0.118,30.1,4.6,11.6,0.392,0.3,1.2,0.259,2.2,2.7,0.814,1.1,3.3,4.4,4.7,2.7,1.5,0.2,0.8,2.4,0.0,11.6,-7.2,26.4,5,0,6,13,1,13,1,3,3,11,11,11,13,2,2,5,1,1,1,1,1,1,1,1,1,7,4,13,1,1,2
9,Danny Fortson,1997-98,DEN,80,11,69,0.138,22.7,3.5,7.6,0.452,0.0,0.0,0.333,3.3,4.2,0.776,2.3,3.3,5.6,1.0,2.0,0.6,0.4,1.3,3.9,0.1,10.2,-5.2,19.2,7,0,1,6,1,10,4,4,4,8,2,5,1,4,3,5,6,5,6,2,2,3,2,2,3,7,4,9,4,4,1
4,Johnny Newman,1997-98,DEN,74,11,63,0.149,29.5,4.6,10.8,0.431,0.5,1.4,0.343,4.9,6.0,0.82,0.7,1.2,1.9,1.9,2.0,1.0,0.3,1.1,2.8,0.0,14.7,-6.5,21.9,0,0,4,6,1,6,1,1,1,4,3,3,5,1,1,3,2,4,3,1,1,1,1,1,2,2,1,6,1,3,1
5,LaPhonso Ellis,1997-98,DEN,76,11,65,0.145,33.9,5.4,13.3,0.407,0.8,2.6,0.284,2.7,3.4,0.805,1.9,5.2,7.2,2.8,2.3,0.9,0.6,0.7,3.0,0.0,14.3,-7.9,29.3,16,0,2,6,1,7,2,2,2,6,2,2,4,2,2,1,3,1,1,1,1,1,3,3,3,3,2,7,2,1,1
1,Bison Dele,1997-98,DET,78,35,43,0.449,33.6,6.8,13.3,0.511,0.0,0.0,0.333,2.5,3.6,0.707,2.9,6.1,8.9,1.2,2.3,0.9,0.7,0.8,3.2,0.0,16.2,0.4,31.0,30,0,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,2,1,1,2,1,1,1
14,Grant Hill,1997-98,DET,81,36,45,0.444,40.7,7.6,16.8,0.452,0.0,0.3,0.143,5.9,8.0,0.74,1.1,6.5,7.7,6.8,3.5,1.8,0.7,1.0,2.4,0.0,21.1,2.7,44.3,36,4,2,7,1,14,1,5,2,12,12,11,14,2,2,13,8,3,3,2,2,2,3,3,3,11,3,5,2,1,2
15,Jerry Stackhouse,1997-98,TOT,79,32,47,0.405,32.2,5.4,12.3,0.435,0.6,2.5,0.241,4.5,5.7,0.787,1.3,2.0,3.4,3.1,2.8,1.1,0.7,0.9,2.2,0.0,15.8,-0.2,27.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,Jerry Stackhouse,1997-98,DET,57,26,31,0.456,31.6,5.2,12.1,0.428,0.5,2.6,0.208,4.8,6.1,0.782,1.4,2.0,3.3,3.1,2.6,1.0,0.7,0.9,2.1,0.0,15.7,1.4,26.7,0,0,8,10,5,12,7,7,8,4,15,9,17,7,6,16,3,10,8,7,9,5,4,7,5,13,7,4,7,9,2
17,Jerry Stackhouse,1997-98,PHI,22,6,16,0.273,34.0,5.8,12.9,0.452,0.7,2.1,0.348,3.7,4.6,0.802,1.3,2.2,3.5,3.0,3.4,1.4,1.0,0.8,2.5,0.0,16.0,-4.4,28.5,0,0,16,16,11,17,6,6,6,1,12,15,4,9,9,14,4,9,7,8,6,1,1,10,2,14,6,15,6,9,2
1,Joe Dumars,1997-98,DET,72,34,38,0.472,32.3,4.6,11.0,0.416,2.2,5.9,0.371,1.8,2.1,0.825,0.2,1.3,1.4,3.5,1.2,0.6,0.0,0.1,1.4,0.0,13.1,0.4,20.9,1,0,2,2,1,3,2,2,2,2,2,1,3,2,2,3,3,3,3,3,3,2,2,3,1,1,2,3,2,1,1
12,Lindsey Hunter,1997-98,DET,71,30,41,0.423,35.3,4.5,11.6,0.383,1.2,3.7,0.321,2.0,2.8,0.74,0.9,2.6,3.5,3.2,1.5,1.7,0.1,0.6,2.5,0.0,12.1,-0.2,25.1,1,0,6,7,1,12,4,4,2,5,5,4,7,1,1,9,1,3,1,3,4,2,9,1,4,9,3,9,3,1,1
15,Donyell Marshall,1997-98,GSW,73,16,57,0.219,35.8,6.2,14.9,0.414,0.9,2.8,0.313,2.2,3.0,0.731,2.9,5.7,8.6,2.2,2.0,1.3,1.0,0.9,3.1,0.0,15.4,-6.4,33.9,27,0,5,10,1,13,2,2,1,10,6,5,13,4,4,9,3,4,4,2,2,1,6,4,1,10,2,14,3,4,1
14,Erick Dampier,1997-98,GSW,82,19,63,0.232,32.4,4.3,9.6,0.445,0.0,0.0,0.0,3.3,4.9,0.669,3.3,5.4,8.7,1.1,2.1,0.5,1.7,1.1,3.4,0.0,11.8,-6.2,28.4,29,0,1,12,1,15,2,2,1,10,3,5,3,1,1,2,3,2,2,3,2,2,4,3,3,12,2,15,2,2,1
21,Joe Smith,1997-98,TOT,79,23,56,0.291,29.7,5.9,13.5,0.434,0.0,0.1,0.0,2.9,3.7,0.775,2.5,3.4,6.0,1.2,2.0,0.8,0.6,0.9,3.3,0.0,14.6,-5.3,25.9,15,0,1,4,1,5,1,1,1,4,2,2,2,1,1,3,1,2,2,1,1,1,2,1,1,5,1,5,1,1,1
22,Joe Smith,1997-98,PHI,30,14,16,0.467,23.3,4.0,9.0,0.448,0.0,0.0,0.0,2.2,2.8,0.788,1.9,2.5,4.4,0.9,1.7,0.6,0.4,0.7,3.1,0.0,10.3,-1.1,18.3,3,0,15,14,15,12,10,9,7,12,8,15,8,9,9,10,13,16,16,10,3,6,15,5,7,16,9,14,11,13,1
23,Joe Smith,1997-98,GSW,49,9,40,0.184,33.6,7.0,16.3,0.429,0.0,0.1,0.0,3.3,4.2,0.769,2.9,4.0,6.9,1.4,2.2,0.9,0.8,1.1,3.4,0.1,17.3,-7.8,30.5,12,0,11,17,4,20,2,2,1,15,8,2,8,4,3,13,4,8,6,3,2,2,7,3,4,12,2,20,3,4,1
12,Tony Delk,1997-98,TOT,77,19,58,0.247,21.8,4.1,10.4,0.393,0.5,2.0,0.268,1.4,2.0,0.735,0.5,1.7,2.2,2.2,1.4,0.9,0.2,0.3,1.2,0.0,10.1,-4.1,18.1,2,0,1,2,1,3,2,1,1,2,3,2,3,1,1,3,3,2,2,1,1,1,2,2,2,2,1,3,2,1,1
13,Tony Delk,1997-98,GSW,74,18,56,0.243,22.2,4.2,10.7,0.392,0.6,2.1,0.263,1.5,2.0,0.738,0.5,1.8,2.3,2.3,1.4,1.0,0.2,0.3,1.2,0.0,10.4,-4.3,18.7,2,0,2,5,1,11,5,3,2,9,9,5,10,4,3,9,8,6,6,3,1,3,5,7,11,5,4,13,5,1,1
14,Tony Delk,1997-98,CHH,3,1,2,0.333,11.4,1.0,1.3,0.75,0.3,0.3,1.0,0.3,0.7,0.5,0.0,0.7,0.7,1.0,1.3,0.0,0.0,0.0,2.7,0.0,2.7,0.7,3.6,0,0,12,12,12,10,12,12,12,1,11,12,1,13,13,13,13,13,13,11,2,12,12,12,1,5,12,6,13,5,1
2,Charles Barkley,1997-98,HOU,68,36,32,0.529,33.0,5.3,10.9,0.485,0.3,1.2,0.214,4.4,5.8,0.746,3.5,8.1,11.7,3.2,2.2,1.0,0.4,0.8,2.8,0.0,15.2,1.4,36.2,42,1,1,2,1,3,3,3,4,1,3,3,3,3,3,1,4,3,3,3,4,2,2,4,2,3,3,3,3,1,1
0,Clyde Drexler,1997-98,HOU,70,39,31,0.557,35.3,6.5,15.1,0.427,1.5,4.8,0.317,4.0,4.9,0.801,1.5,3.4,4.9,5.5,2.7,1.8,0.6,0.6,2.8,0.0,18.4,1.0,37.0,11,0,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2
1,Eddie Johnson,1997-98,HOU,75,37,38,0.493,19.9,3.0,7.3,0.417,0.9,2.6,0.333,1.5,1.8,0.831,0.7,1.4,2.0,1.2,0.8,0.4,0.0,0.4,1.2,0.0,8.4,-1.2,13.2,0,0,1,1,1,2,2,2,2,4,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1
4,Hakeem Olajuwon,1997-98,HOU,47,26,21,0.553,34.7,6.5,13.5,0.483,0.0,0.1,0.0,3.4,4.5,0.755,2.5,7.3,9.8,3.0,2.7,1.8,2.0,0.8,3.2,0.1,16.4,1.4,41.5,23,0,5,5,5,3,3,3,3,4,3,3,3,3,3,2,1,2,1,1,3,1,3,2,1,2,3,2,3,3,2
10,Kevin Willis,1997-98,HOU,81,41,40,0.506,31.2,6.6,12.9,0.51,0.0,0.1,0.143,3.0,3.8,0.793,2.9,5.5,8.4,1.0,2.1,0.7,0.5,0.7,2.9,0.1,16.1,-0.9,29.0,24,0,1,4,1,6,1,1,1,1,4,3,3,2,1,4,1,3,1,2,1,2,5,1,4,4,1,4,1,1,1
3,Mario Elie,1997-98,HOU,73,35,38,0.479,27.2,2.8,6.2,0.452,0.8,2.6,0.291,2.0,2.4,0.833,0.5,1.6,2.1,3.0,1.4,1.1,0.1,0.3,1.6,0.0,8.4,-0.4,17.8,1,0,3,4,1,5,4,3,3,3,4,2,5,3,3,4,5,5,5,2,3,2,5,4,5,3,3,5,3,2,1
4,Matt Maloney,1997-98,HOU,78,39,39,0.5,28.4,3.1,7.5,0.408,1.6,4.4,0.364,0.8,1.0,0.833,0.2,1.6,1.8,2.8,1.4,0.8,0.1,0.3,1.3,0.0,8.6,-0.9,16.2,0,0,2,2,1,2,2,2,1,3,2,2,2,2,2,2,3,3,3,2,2,3,2,2,3,3,2,5,2,2,1
