,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
12,Al Harrington,2005-06,ATL,76,24,52,0.316,36.6,7.3,16.1,0.452,0.9,2.5,0.346,3.2,4.6,0.694,1.7,5.1,6.9,3.1,2.6,1.1,0.2,0.9,4.0,3.8,18.6,-4.4,32.9,15,0,5,10,2,16,2,2,2,7,10,11,7,4,2,12,8,1,2,2,2,4,12,6,1,1,2,16,1,1,1
17,Joe Johnson,2005-06,ATL,82,26,56,0.317,40.7,7.7,17.0,0.453,1.6,4.4,0.356,3.2,4.0,0.791,1.2,2.9,4.1,6.5,3.3,1.3,0.4,0.5,2.3,3.3,20.2,-4.6,36.5,13,1,1,14,1,20,3,5,5,8,9,9,14,4,4,13,3,11,8,1,1,1,2,10,1,4,5,20,4,1,1
6,Josh Childress,2005-06,ATL,74,24,50,0.324,30.4,3.8,6.8,0.552,0.4,0.9,0.492,2.1,2.7,0.766,1.8,3.4,5.2,1.8,1.4,1.2,0.5,0.7,2.5,2.1,10.0,-2.5,22.7,6,0,3,2,2,7,2,4,4,3,2,2,1,4,4,4,4,3,3,3,2,1,3,4,1,3,4,7,4,3,1
15,Josh Smith,2005-06,ATL,80,26,54,0.325,32.0,4.1,9.7,0.425,0.4,1.4,0.309,2.6,3.7,0.719,2.2,4.4,6.6,2.4,2.0,0.8,2.6,0.4,3.3,2.9,11.3,-4.0,31.0,11,0,3,10,2,13,10,11,11,10,8,9,4,7,10,2,3,10,10,11,11,11,3,12,3,10,11,13,10,9,4
16,Marvin Williams,2005-06,ATL,79,25,54,0.316,24.7,3.0,6.7,0.443,0.2,0.7,0.245,2.4,3.2,0.747,1.5,3.3,4.8,0.8,1.1,0.6,0.3,0.7,2.9,2.3,8.5,-1.1,17.2,4,0,4,12,1,16,13,12,12,8,15,15,14,4,4,15,3,14,11,16,4,13,16,4,2,4,12,10,13,6,1
13,Zaza Pachulia,2005-06,ATL,78,26,52,0.333,31.4,3.9,8.7,0.451,0.0,0.0,0.0,3.8,5.2,0.735,3.4,4.5,7.9,1.7,2.3,1.1,0.5,1.2,3.7,4.4,11.7,-2.9,26.2,21,0,2,13,1,14,1,2,1,12,1,9,1,2,2,12,1,3,3,5,1,1,1,1,2,1,2,15,1,2,1
8,Delonte West,2005-06,BOS,71,28,43,0.394,34.1,4.7,9.6,0.487,1.2,3.1,0.385,1.2,1.4,0.851,0.8,3.3,4.1,4.6,1.9,1.2,0.6,0.5,2.8,1.5,11.8,0.8,27.2,2,0,1,3,2,7,1,1,3,1,2,2,2,6,6,4,1,1,1,1,4,3,2,4,1,3,2,4,1,2,1
11,Paul Pierce,2005-06,BOS,79,32,47,0.405,39.0,8.7,18.5,0.471,1.4,4.0,0.354,7.9,10.3,0.772,1.0,5.7,6.7,4.7,3.5,1.4,0.4,1.1,2.8,7.8,26.8,-0.7,43.9,17,1,8,16,1,18,3,1,4,3,14,12,14,1,1,16,6,4,3,3,3,8,11,4,9,1,1,16,3,3,3
2,Raef LaFrentz,2005-06,BOS,82,33,49,0.402,24.8,2.9,6.7,0.431,1.4,3.5,0.392,0.6,0.9,0.68,1.0,4.0,5.0,1.4,0.8,0.4,0.9,0.3,3.3,0.9,7.8,-0.2,18.7,3,0,1,5,1,8,7,9,9,10,2,2,3,9,9,9,9,7,7,2,6,9,8,8,6,1,8,5,8,7,1
4,Ricky Davis,2005-06,TOT,78,29,49,0.372,41.1,7.5,16.7,0.448,0.9,3.1,0.302,3.5,4.4,0.797,0.8,3.7,4.5,5.1,2.7,1.2,0.2,0.9,2.4,3.8,19.4,-0.9,33.8,3,0,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1
5,Ricky Davis,2005-06,MIN,36,12,24,0.333,40.5,7.1,16.5,0.429,0.9,3.3,0.282,4.1,5.0,0.807,0.7,3.9,4.6,4.8,2.7,1.2,0.2,0.9,2.8,4.0,19.1,-2.1,33.3,2,0,10,11,9,10,2,3,3,10,6,3,12,2,2,5,8,2,3,4,4,3,8,1,1,1,3,8,3,3,1
6,Ricky Davis,2005-06,BOS,42,17,25,0.405,41.6,7.8,16.9,0.464,1.0,3.0,0.32,3.1,3.9,0.787,1.0,3.5,4.5,5.3,2.7,1.2,0.2,0.9,2.2,3.7,19.7,0.2,34.3,1,0,9,7,8,7,1,1,2,5,4,5,9,4,4,8,3,5,4,2,3,3,9,3,6,2,2,2,2,5,1
