,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
9,Al Horford,2012-13,ATL,74,42,32,0.568,37.2,7.8,14.3,0.543,0.0,0.1,0.5,1.8,2.8,0.644,2.6,7.6,10.2,3.2,2.0,1.1,1.1,0.5,2.2,2.6,17.4,2.2,38.9,43,0,6,6,4,10,1,2,2,5,10,11,2,7,4,15,3,1,1,8,2,1,11,4,5,2,2,9,1,1,3
12,Jeff Teague,2012-13,ATL,80,43,37,0.538,32.9,5.5,12.2,0.451,1.1,3.1,0.359,2.5,2.8,0.881,0.3,1.9,2.3,7.2,2.9,1.5,0.4,1.0,2.3,2.9,14.6,0.9,30.7,15,0,2,4,3,8,3,4,3,4,3,3,7,8,8,2,10,9,9,3,2,3,7,3,2,7,5,6,5,2,1
8,Josh Smith,2012-13,ATL,76,40,36,0.526,35.3,7.2,15.6,0.465,0.8,2.6,0.303,2.2,4.2,0.517,1.8,6.7,8.4,4.2,3.0,1.2,1.8,0.5,2.3,4.0,17.5,1.1,40.0,29,0,6,4,6,8,5,2,3,4,4,4,5,9,6,12,10,3,5,2,3,9,6,9,12,6,2,5,5,3,4
11,Kyle Korver,2012-13,ATL,74,41,33,0.554,30.5,3.7,8.1,0.461,2.6,5.6,0.457,0.9,1.1,0.859,0.3,3.6,4.0,2.0,0.9,0.9,0.5,0.2,2.3,1.0,10.9,2.7,22.0,0,0,7,9,7,11,6,6,6,6,5,4,6,10,11,11,8,4,4,7,11,3,2,10,6,8,6,10,5,5,1
4,Brandon Bass,2012-13,BOS,81,41,40,0.506,27.6,3.5,7.3,0.486,0.0,0.0,0.0,1.6,1.9,0.86,1.6,3.7,5.2,1.0,1.0,0.5,0.8,0.6,2.3,1.5,8.7,-2.2,19.5,3,0,3,4,4,7,2,5,5,8,4,9,4,8,8,3,5,4,4,4,7,2,4,7,1,8,5,10,5,5,1
13,Courtney Lee,2012-13,BOS,78,40,38,0.513,24.9,3.2,6.8,0.464,0.7,2.0,0.372,0.8,0.9,0.861,0.4,2.0,2.4,1.8,1.1,1.1,0.3,0.3,1.8,0.8,7.8,-1.2,16.7,0,0,2,4,4,9,10,10,11,4,13,11,10,11,12,6,7,9,8,5,3,4,8,10,7,12,11,9,9,2,1
5,Jason Terry,2012-13,BOS,79,40,39,0.506,26.9,3.6,8.2,0.434,1.6,4.2,0.372,1.4,1.7,0.87,0.2,1.8,2.0,2.5,1.3,0.8,0.1,0.2,1.4,1.0,10.1,0.8,17.9,1,0,10,9,6,12,13,13,13,9,11,12,11,13,14,5,14,10,11,14,13,15,16,14,14,8,13,10,14,9,2
15,Jeff Green,2012-13,BOS,81,41,40,0.506,27.8,4.6,10.0,0.467,0.9,2.2,0.385,2.6,3.3,0.808,0.7,3.2,3.9,1.6,1.6,0.7,0.8,0.8,2.2,2.7,12.8,0.1,22.8,1,0,3,4,6,12,9,8,8,7,12,15,3,5,5,8,10,10,10,11,6,8,2,3,10,5,7,6,6,7,1
5,Kevin Garnett,2012-13,BOS,68,36,32,0.529,29.7,6.2,12.5,0.496,0.0,0.2,0.125,2.3,3.0,0.786,1.1,6.7,7.8,2.3,1.6,1.1,0.9,0.3,2.3,3.3,14.8,1.6,32.2,19,0,14,14,7,13,17,15,15,13,14,11,17,16,16,13,17,15,16,17,15,14,15,15,18,4,16,14,16,15,8
4,Paul Pierce,2012-13,BOS,77,41,36,0.532,33.4,6.2,14.2,0.436,1.9,5.0,0.38,4.3,5.5,0.787,0.6,5.7,6.3,4.8,2.8,1.1,0.4,1.0,2.7,4.6,18.6,1.6,35.0,12,3,10,10,7,12,15,13,11,15,3,3,9,14,14,14,14,3,8,2,10,13,14,7,11,6,13,11,9,6,1
1,Andray Blatche,2012-13,BKN,82,49,33,0.598,19.0,4.2,8.2,0.512,0.0,0.3,0.136,1.8,2.6,0.685,2.0,3.1,5.1,1.0,1.5,1.0,0.7,0.8,2.0,2.4,10.3,-0.3,21.6,7,0,1,1,5,1,7,4,6,1,8,8,9,4,4,7,3,7,7,7,5,3,5,5,7,4,4,2,5,4,1
9,Brook Lopez,2012-13,BKN,74,46,28,0.622,30.5,7.7,14.8,0.521,0.0,0.0,0.0,4.0,5.3,0.758,2.8,4.1,6.9,0.9,1.8,0.4,2.1,0.9,2.1,4.1,19.4,3.9,35.0,12,0,6,3,8,5,6,3,5,3,9,12,9,5,6,11,3,6,5,10,6,12,4,5,13,6,5,4,3,5,1
6,Deron Williams,2012-13,BKN,78,46,32,0.59,36.4,6.3,14.4,0.44,2.2,5.7,0.378,4.1,4.7,0.859,0.4,2.6,3.0,7.7,2.8,1.0,0.4,0.7,2.5,4.1,18.9,2.2,35.4,21,0,4,4,5,4,7,6,4,8,1,2,4,5,7,2,9,8,7,8,8,9,1,9,6,7,4,5,7,7,1
