,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
13,Al Horford,2008-09,ATL,67,41,26,0.612,33.5,4.7,8.9,0.525,0.0,0.0,0.0,2.2,3.1,0.727,2.2,7.1,9.3,2.4,1.5,0.8,1.4,0.4,2.8,2.5,11.5,0.2,31.5,20,0,10,7,8,6,4,13,14,8,13,14,13,2,2,13,7,2,5,12,7,8,3,8,2,3,13,13,11,5,3
3,Flip Murray,2008-09,ATL,80,46,34,0.575,24.7,4.4,9.9,0.447,1.1,3.0,0.36,2.2,2.9,0.76,0.3,1.8,2.1,2.0,1.6,1.1,0.2,0.4,2.2,2.0,12.2,2.5,20.0,0,0,2,1,2,5,3,3,3,2,1,2,2,2,2,2,10,4,5,7,7,2,5,10,2,3,3,2,4,5,1
14,Joe Johnson,2008-09,ATL,79,45,34,0.57,39.5,7.8,18.0,0.437,1.9,5.2,0.36,3.8,4.6,0.826,0.8,3.6,4.4,5.8,2.5,1.1,0.2,0.7,2.2,3.7,21.4,2.3,36.7,4,1,7,4,9,9,5,4,4,11,7,5,12,3,3,6,10,5,6,3,4,4,5,3,2,2,3,6,3,3,1
12,Josh Smith,2008-09,ATL,69,41,28,0.594,35.1,6.1,12.3,0.492,0.4,1.3,0.299,3.1,5.2,0.588,1.9,5.3,7.2,2.4,2.3,1.4,1.6,0.7,2.7,4.3,15.6,2.2,34.5,20,0,9,3,9,5,7,7,9,2,10,11,6,5,4,9,7,9,7,10,10,6,9,4,7,3,8,4,9,6,4
13,Marvin Williams,2008-09,ATL,61,33,28,0.541,34.3,4.7,10.2,0.458,0.9,2.5,0.355,3.6,4.5,0.806,1.8,4.5,6.3,1.3,1.1,0.9,0.6,0.8,2.1,3.0,13.9,0.1,26.9,6,0,13,8,13,5,2,3,3,3,9,9,8,2,2,10,1,3,3,6,3,3,4,3,5,2,2,6,1,4,1
6,Mike Bibby,2008-09,ATL,79,47,32,0.595,34.7,5.5,12.7,0.435,2.1,5.4,0.39,1.7,2.2,0.789,0.5,3.0,3.5,5.0,1.6,1.2,0.1,0.3,1.8,2.2,14.9,0.8,29.1,4,0,9,5,6,9,7,9,8,9,2,4,6,10,10,8,8,3,5,11,12,8,7,12,10,5,7,9,7,8,3
4,Eddie House,2008-09,BOS,81,61,20,0.753,18.3,3.1,6.9,0.445,1.9,4.2,0.444,0.5,0.7,0.792,0.1,1.8,1.9,1.1,0.7,0.8,0.1,0.1,1.4,0.4,8.5,2.4,14.4,0,0,1,2,7,2,7,6,8,3,1,1,3,9,9,11,12,4,4,10,9,5,5,13,5,6,3,2,5,2,1
12,Kendrick Perkins,2008-09,BOS,76,57,19,0.75,29.6,3.6,6.3,0.577,0.0,0.0,0.0,1.3,2.1,0.6,2.7,5.5,8.1,1.3,2.2,0.3,2.0,0.6,3.3,2.0,8.5,4.4,24.8,12,0,4,3,8,4,1,2,2,3,1,4,1,4,4,7,1,4,1,4,1,11,1,4,1,3,2,3,1,2,1
9,Kevin Garnett,2008-09,BOS,57,44,13,0.772,31.1,6.9,13.0,0.531,0.0,0.1,0.25,1.9,2.3,0.841,1.4,7.1,8.5,2.5,1.6,1.1,1.2,0.2,2.2,2.4,15.8,8.3,35.1,22,0,16,9,20,2,14,13,13,3,13,17,10,17,17,3,13,11,13,15,16,15,13,17,19,8,14,2,13,13,8
8,Paul Pierce,2008-09,BOS,81,61,20,0.753,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.7,6.8,0.83,0.7,5.0,5.6,3.6,2.8,1.0,0.3,1.0,2.7,5.6,20.5,6.6,33.8,7,0,4,2,17,2,6,8,10,5,12,14,5,8,8,5,10,9,10,9,8,16,15,8,12,3,8,3,12,8,7
