,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
16,Joe Johnson,2006-07,ATL,57,21,36,0.368,41.4,9.4,20.0,0.471,2.1,5.5,0.381,4.1,5.5,0.748,0.9,3.3,4.2,4.4,3.1,1.1,0.2,0.8,2.0,4.8,25.0,-3.1,37.3,2,0,14,15,7,18,1,1,1,3,2,2,6,1,1,20,7,8,7,7,2,5,11,2,6,1,1,19,1,9,3
5,Josh Childress,2006-07,ATL,55,22,33,0.4,36.8,4.7,9.4,0.504,0.5,1.4,0.338,3.0,3.8,0.795,2.2,3.9,6.2,2.3,1.5,1.1,0.7,1.0,2.1,3.0,13.0,-2.0,27.6,7,0,4,4,4,6,1,1,1,4,1,1,3,1,1,3,3,1,1,1,1,2,1,1,3,1,1,4,1,2,1
14,Josh Smith,2006-07,ATL,72,28,44,0.389,36.8,6.1,13.8,0.439,0.5,2.1,0.25,3.7,5.4,0.693,2.3,6.3,8.6,3.3,3.2,1.4,2.9,0.7,3.3,4.3,16.4,-2.9,41.3,32,0,8,8,4,11,1,8,6,8,7,5,11,2,2,4,2,4,3,7,1,4,1,3,1,2,6,11,3,1,4
15,Marvin Williams,2006-07,ATL,64,21,43,0.328,34.0,4.8,11.0,0.433,0.2,0.7,0.244,3.4,4.1,0.815,1.3,4.0,5.3,1.9,2.0,0.8,0.5,0.9,3.0,2.8,13.1,-3.0,24.1,4,0,12,14,6,14,3,2,2,11,14,14,15,3,3,9,6,7,6,1,1,8,11,1,1,3,3,16,5,6,1
6,Tyronn Lue,2006-07,ATL,56,22,34,0.393,26.6,3.9,9.4,0.416,1.0,2.9,0.348,2.6,2.9,0.883,0.3,1.5,1.9,3.6,1.5,0.4,0.0,0.5,1.8,2.3,11.4,-3.4,18.7,3,0,4,4,5,10,3,3,3,12,3,1,11,2,2,1,2,6,5,3,3,7,5,3,8,2,2,12,3,2,1
12,Zaza Pachulia,2006-07,ATL,72,26,46,0.361,28.1,4.0,8.5,0.474,0.0,0.0,0.0,4.1,5.2,0.786,2.8,4.2,6.9,1.5,2.3,1.1,0.5,1.0,3.7,3.8,12.2,-1.4,25.2,13,0,8,13,3,13,3,1,2,6,1,12,1,1,1,4,3,4,4,8,2,3,1,2,1,2,1,12,2,4,1
11,Al Jefferson,2006-07,BOS,69,20,49,0.29,33.6,6.6,12.8,0.514,0.0,0.0,0.0,2.9,4.3,0.681,3.4,7.5,11.0,1.3,2.0,0.7,1.5,1.3,3.4,3.4,16.0,-2.4,35.8,38,0,7,11,3,12,6,9,9,3,5,12,5,3,3,9,3,2,3,10,2,8,4,3,1,3,9,12,7,3,1
7,Delonte West,2006-07,BOS,69,23,46,0.333,32.2,4.4,10.4,0.427,0.9,2.6,0.365,2.4,2.9,0.853,0.5,2.6,3.0,4.4,2.0,1.1,0.5,0.5,2.2,2.1,12.2,-3.7,25.1,5,0,2,5,1,8,3,3,1,7,4,4,4,1,1,3,5,4,4,3,1,5,3,6,3,1,1,9,2,1,1
12,Gerald Green,2006-07,BOS,81,24,57,0.296,22.0,3.8,9.1,0.419,1.2,3.2,0.368,1.6,2.0,0.805,0.8,1.7,2.6,1.0,1.5,0.5,0.3,0.5,2.4,1.5,10.4,-2.6,16.0,0,0,2,8,1,12,5,5,5,6,7,7,5,3,3,7,2,9,4,4,3,6,6,1,3,3,5,13,5,2,1
10,Paul Pierce,2006-07,BOS,47,20,27,0.426,37.0,7.9,18.1,0.439,2.3,5.9,0.389,6.8,8.6,0.796,0.8,5.1,5.9,4.1,3.2,1.0,0.3,1.1,2.6,6.8,25.0,0.0,38.9,5,0,18,17,12,17,7,5,6,14,2,2,7,3,4,13,9,8,9,8,4,14,17,3,13,2,5,15,7,13,7
