,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
5,DerMarr Johnson,2001-02,ATL,72,27,45,0.375,23.9,3.0,7.5,0.396,1.2,3.4,0.36,1.2,1.5,0.81,0.8,2.6,3.4,1.1,1.4,0.9,0.8,0.4,2.3,0.0,8.4,-1.2,17.7,2,0,2,3,2,6,1,1,1,4,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1
16,Jason Terry,2001-02,ATL,78,33,45,0.423,38.0,6.7,15.6,0.43,2.2,5.7,0.387,3.6,4.4,0.835,0.5,2.9,3.5,5.7,2.3,1.8,0.2,0.8,2.0,0.0,19.3,-2.1,35.7,8,0,11,14,5,15,2,3,3,12,2,3,7,2,2,11,3,3,2,2,4,1,13,2,8,15,3,16,1,2,2
22,Nazr Mohammed,2001-02,ATL,82,33,49,0.402,26.5,4.0,8.7,0.461,0.0,0.0,0.0,1.7,2.7,0.617,3.0,5.0,7.9,0.4,1.4,0.8,0.7,1.0,3.1,0.0,9.7,-3.7,22.9,21,0,1,5,1,17,2,3,2,15,1,7,1,3,3,10,4,3,3,8,5,4,8,2,3,17,3,22,4,1,1
8,Shareef Abdur-Rahim,2001-02,ATL,77,32,45,0.416,38.7,7.8,16.8,0.461,0.3,0.9,0.3,5.4,6.8,0.801,2.6,6.5,9.0,3.1,3.2,1.3,1.1,1.5,2.8,0.0,21.2,-2.9,40.5,32,0,7,3,7,4,4,2,2,9,3,2,7,6,3,9,5,4,4,3,2,2,3,6,6,7,3,7,3,3,2
8,Antoine Walker,2001-02,BOS,81,48,33,0.593,42.1,8.2,20.9,0.394,2.7,8.0,0.344,3.0,4.0,0.741,1.9,7.0,8.8,5.0,3.1,1.5,0.5,1.5,2.9,0.0,22.1,3.0,43.1,29,2,6,3,9,4,1,3,2,11,1,1,4,4,7,1,9,3,5,2,6,3,8,2,6,9,3,1,3,4,2
3,Erick Strickland,2001-02,BOS,79,47,32,0.595,20.8,2.4,6.2,0.389,1.2,3.1,0.385,1.7,2.0,0.845,0.3,2.4,2.7,2.3,1.2,0.7,0.0,0.4,1.8,0.0,7.7,-1.3,15.4,0,0,1,1,3,1,4,5,6,6,1,2,4,4,5,4,9,4,4,6,7,7,10,5,5,2,3,7,6,3,1
7,Kenny Anderson,2001-02,BOS,76,44,32,0.579,31.9,4.1,9.4,0.436,0.1,0.4,0.273,1.3,1.7,0.742,0.8,2.9,3.6,5.3,1.6,1.9,0.1,0.7,2.8,0.0,9.6,3.3,26.3,2,0,3,2,3,4,3,5,5,5,8,7,8,7,7,8,3,2,2,5,8,2,3,5,2,3,6,2,4,4,1
15,Paul Pierce,2001-02,BOS,82,49,33,0.598,40.2,8.6,19.5,0.442,2.6,6.3,0.404,6.3,7.8,0.809,1.0,5.9,6.9,3.2,2.9,1.9,1.0,1.2,2.9,0.0,26.1,3.8,45.0,17,0,1,4,8,8,1,2,2,11,1,1,3,7,7,10,5,2,2,11,6,2,1,2,6,17,2,4,2,3,7
14,Baron Davis,2001-02,CHH,82,44,38,0.537,40.5,6.8,16.4,0.417,2.1,5.8,0.356,2.4,4.1,0.58,1.1,3.1,4.3,8.5,3.0,2.1,0.6,0.8,2.9,0.0,18.1,1.8,41.0,29,1,1,4,3,9,1,4,4,6,6,6,2,10,7,15,3,7,6,2,4,4,2,8,6,11,6,7,4,1,3
7,David Wesley,2001-02,CHH,67,36,31,0.537,37.2,5.4,13.6,0.4,1.3,3.8,0.332,2.1,2.8,0.734,0.7,1.5,2.1,3.5,1.8,1.1,0.2,0.8,2.2,0.0,14.2,-1.1,24.2,1,0,7,6,5,7,3,4,3,9,6,5,10,10,9,11,3,11,11,7,8,10,3,3,11,4,4,10,8,5,1
7,Elden Campbell,2001-02,CHH,77,41,36,0.532,28.0,5.0,10.3,0.484,0.0,0.0,0.0,4.0,5.0,0.797,1.7,5.2,6.9,1.3,1.8,0.8,1.8,0.7,3.4,0.0,13.9,0.1,30.1,15,0,4,6,1,11,5,3,5,2,3,6,3,2,3,2,7,5,5,5,3,2,4,5,4,3,3,8,5,4,1
12,Jamaal Magloire,2001-02,CHH,82,44,38,0.537,18.9,2.8,5.0,0.55,0.0,0.0,0.0,3.0,4.1,0.73,1.9,3.8,5.6,0.4,1.4,0.3,1.0,0.6,2.5,0.1,8.5,1.4,18.5,8,0,1,2,4,6,6,5,5,2,1,3,1,3,3,2,6,6,6,6,6,5,4,5,6,10,5,2,5,4,1
2,Jamal Mashburn,2001-02,CHH,40,23,17,0.575,39.9,7.6,18.6,0.407,1.0,2.8,0.366,5.3,6.0,0.876,0.8,5.3,6.1,4.3,2.8,1.1,0.2,1.1,2.0,0.0,21.5,1.2,36.2,4,0,5,5,6,5,2,3,3,6,6,7,4,1,1,1,8,2,5,3,3,2,7,4,8,3,2,8,3,3,3
7,Lee Nailon,2001-02,CHH,79,43,36,0.544,24.2,4.7,9.7,0.483,0.0,0.0,0.5,1.4,1.9,0.747,1.3,2.4,3.7,1.2,1.2,0.7,0.2,0.5,2.2,0.0,10.8,-0.1,18.6,1,0,1,1,2,2,2,2,2,3,1,4,1,2,2,7,3,2,2,2,2,1,3,2,2,2,2,4,2,1,1
6,P.J. Brown,2001-02,CHH,80,43,37,0.538,32.0,3.1,6.6,0.474,0.0,0.0,0.0,2.1,2.5,0.858,3.4,6.4,9.8,1.3,1.1,0.7,1.0,0.4,2.8,0.1,8.4,1.8,26.2,17,0,2,6,4,9,7,9,10,5,1,8,1,5,7,2,1,1,1,7,11,9,5,11,8,7,10,7,7,8,1
12,Brad Miller,2001-02,TOT,76,28,48,0.368,29.8,4.8,9.6,0.499,0.0,0.1,0.429,3.9,5.0,0.775,3.3,4.9,8.2,2.0,1.5,1.0,0.5,1.5,3.2,0.1,13.6,-2.4,29.5,19,0,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1
13,Brad Miller,2001-02,IND,28,16,12,0.571,31.2,5.6,10.0,0.562,0.0,0.1,0.333,3.8,4.6,0.823,2.7,5.1,7.9,1.8,1.5,0.9,0.4,1.4,3.1,0.1,15.1,1.4,29.7,6,0,14,11,14,6,6,2,5,2,13,12,7,4,4,7,2,7,7,13,9,6,13,2,6,10,2,9,6,10,3
14,Brad Miller,2001-02,CHI,48,12,36,0.25,29.0,4.3,9.4,0.46,0.0,0.1,0.5,4.0,5.3,0.751,3.7,4.7,8.4,2.1,1.5,1.1,0.6,1.5,3.3,0.0,12.7,-4.6,29.4,13,0,11,13,6,13,8,7,6,11,12,14,1,3,1,15,1,11,4,10,8,2,8,1,4,11,7,15,7,6,3
9,Jalen Rose,2001-02,TOT,83,35,48,0.422,38.0,8.0,17.6,0.455,1.1,3.0,0.362,3.4,4.0,0.839,0.5,4.0,4.5,4.3,2.4,0.9,0.5,0.7,3.0,0.0,20.4,-1.5,34.3,5,0,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
10,Jalen Rose,2001-02,CHI,30,9,21,0.3,40.6,9.2,19.6,0.47,1.2,3.3,0.37,4.2,5.0,0.839,0.5,3.7,4.1,5.3,3.2,1.1,0.5,0.6,3.4,0.1,23.8,-6.1,38.4,2,0,11,12,10,12,3,1,1,3,4,4,7,2,2,4,9,4,5,3,3,1,4,7,1,5,1,14,1,5,2
11,Jalen Rose,2001-02,IND,53,26,27,0.491,36.6,7.3,16.4,0.444,1.0,2.8,0.356,2.9,3.5,0.839,0.5,4.2,4.7,3.7,2.0,0.8,0.5,0.8,2.8,0.0,18.5,1.1,31.9,3,0,7,8,7,6,6,4,4,8,6,6,8,9,9,5,3,3,3,6,8,7,3,1,6,9,4,3,5,4,2
4,Marcus Fizer,2001-02,CHI,76,19,57,0.25,25.9,4.9,11.2,0.438,0.1,0.5,0.171,2.5,3.7,0.668,1.7,3.9,5.6,1.6,1.7,0.6,0.3,0.7,2.4,0.1,12.3,-4.0,22.6,8,0,1,1,2,4,1,1,1,4,3,2,3,1,1,4,2,1,2,1,1,1,2,2,1,2,1,4,1,1,1
3,Ron Mercer,2001-02,TOT,53,14,39,0.264,32.4,5.9,14.8,0.397,0.3,1.2,0.29,1.8,2.2,0.798,0.9,2.4,3.4,2.4,1.7,0.6,0.2,0.6,2.0,0.0,13.9,-6.7,22.4,0,0,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1
4,Ron Mercer,2001-02,IND,13,6,7,0.462,16.5,1.9,5.2,0.373,0.1,0.4,0.2,0.8,0.8,1.0,0.5,1.3,1.8,0.8,0.7,0.2,0.2,0.1,1.7,0.0,4.8,-2.8,8.5,0,0,10,10,10,4,9,10,10,10,5,5,5,8,8,1,8,9,9,9,9,10,6,10,8,3,10,5,9,3,1
5,Ron Mercer,2001-02,CHI,40,8,32,0.2,37.6,7.2,17.9,0.399,0.4,1.4,0.298,2.1,2.7,0.778,1.1,2.8,3.9,3.0,2.0,0.8,0.3,0.8,2.2,0.0,16.8,-8.0,26.9,0,0,5,8,3,9,4,4,2,9,1,1,3,5,5,8,4,3,2,2,5,7,5,3,4,3,4,9,4,3,1
10,Trenton Hassell,2001-02,CHI,78,21,57,0.269,28.7,3.4,8.1,0.425,0.8,2.1,0.364,1.1,1.5,0.763,0.8,2.4,3.3,2.2,1.3,0.7,0.6,0.3,2.4,0.0,8.7,-5.9,18.5,0,0,4,7,1,9,3,2,1,7,1,1,1,2,2,5,7,2,1,3,2,1,3,3,5,8,2,9,1,5,1
22,Andre Miller,2001-02,CLE,81,29,52,0.358,37.3,5.9,12.9,0.454,0.3,1.1,0.253,4.5,5.5,0.817,1.3,3.3,4.7,10.9,3.0,1.6,0.4,1.1,2.8,0.0,16.5,-1.3,41.3,43,3,10,13,2,19,2,3,2,16,4,3,6,2,1,9,3,2,1,1,4,3,1,1,1,17,2,18,1,1,1
