,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
14,Al Horford,2007-08,ATL,81,37,44,0.457,31.4,4.1,8.2,0.499,0.0,0.1,0.0,1.9,2.6,0.731,3.1,6.6,9.7,1.5,1.7,0.7,0.9,0.6,3.3,2.2,10.1,-1.4,27.4,25,0,2,11,1,14,10,14,15,10,13,12,13,6,6,12,1,5,3,15,4,12,13,3,1,7,15,14,15,4,3
15,Joe Johnson,2007-08,ATL,82,37,45,0.451,40.8,7.9,18.3,0.432,2.1,5.4,0.381,3.9,4.6,0.834,1.0,3.5,4.5,5.8,2.7,1.0,0.2,0.7,2.0,3.7,21.7,-0.2,36.7,9,0,1,10,3,16,2,3,2,14,4,3,7,2,2,4,4,6,5,2,3,6,8,4,4,3,2,13,2,2,3
4,Josh Childress,2007-08,ATL,76,33,43,0.434,29.9,4.3,7.5,0.571,0.3,0.8,0.367,2.9,3.6,0.807,2.3,2.6,4.9,1.5,1.3,0.9,0.6,0.9,1.7,2.5,11.8,-1.7,23.2,3,0,2,1,3,4,3,2,3,1,3,3,2,2,2,2,2,4,4,4,4,3,2,3,4,2,2,2,2,4,1
13,Josh Smith,2007-08,ATL,81,37,44,0.457,35.5,6.4,14.0,0.457,0.3,1.2,0.253,4.1,5.8,0.71,2.0,6.2,8.2,3.4,3.0,1.5,2.8,0.8,3.3,4.7,17.2,-0.4,42.1,19,1,1,6,4,10,2,5,4,6,12,12,10,1,1,3,5,5,6,5,2,2,2,1,2,1,3,8,2,7,1
14,Marvin Williams,2007-08,ATL,80,35,45,0.438,34.6,5.3,11.5,0.462,0.0,0.1,0.1,4.2,5.1,0.822,1.5,4.2,5.7,1.7,1.6,1.0,0.4,0.9,2.8,3.6,14.8,-2.1,26.9,7,0,3,4,3,9,1,1,1,1,16,16,16,1,1,7,4,5,4,2,2,1,13,2,3,1,1,13,2,3,1
10,Kevin Garnett,2007-08,BOS,71,57,14,0.803,32.8,7.5,13.9,0.539,0.0,0.2,0.0,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.9,1.4,1.3,0.4,2.3,3.7,18.8,10.4,41.1,29,0,11,2,19,1,12,11,12,2,18,14,18,9,9,11,12,10,11,11,12,6,12,12,14,3,10,1,11,10,8
9,Paul Pierce,2007-08,BOS,80,64,16,0.8,35.9,6.4,13.7,0.464,1.8,4.6,0.392,5.1,6.1,0.843,0.7,4.5,5.1,4.5,2.8,1.3,0.5,0.9,2.5,5.3,19.6,9.8,35.0,7,0,5,1,18,1,9,11,12,4,5,7,4,10,11,4,11,12,14,4,11,9,9,11,15,4,9,1,10,8,7
20,Rajon Rondo,2007-08,BOS,77,62,15,0.805,29.9,4.6,9.3,0.492,0.1,0.2,0.263,1.4,2.3,0.611,1.0,3.2,4.2,5.1,1.9,1.7,0.2,0.8,2.4,2.4,10.6,7.9,26.9,4,0,4,1,13,1,9,8,10,3,19,19,13,8,6,10,10,13,12,14,15,8,3,5,4,6,8,1,10,13,12
6,Ray Allen,2007-08,BOS,73,58,15,0.795,35.9,6.0,13.5,0.445,2.5,6.2,0.398,2.9,3.2,0.907,1.0,2.6,3.7,3.1,1.7,0.9,0.2,0.6,2.0,2.3,17.4,8.4,28.1,1,0,11,3,18,2,12,13,11,11,9,8,9,13,12,6,9,16,13,12,13,15,6,12,13,4,12,1,12,8,4
6,Emeka Okafor,2007-08,CHA,82,32,50,0.39,33.1,5.6,10.5,0.535,0.0,0.0,0.0,2.6,4.6,0.57,3.1,7.6,10.7,0.9,2.0,0.8,1.7,1.2,2.9,3.5,13.8,-3.1,33.2,39,0,1,4,3,6,4,3,4,3,1,3,1,5,3,7,6,1,3,6,2,4,5,1,5,2,3,8,4,2,1
11,Gerald Wallace,2007-08,CHA,62,23,39,0.371,38.3,6.6,14.6,0.449,1.1,3.6,0.321,5.0,6.9,0.731,0.9,5.1,6.0,3.5,2.9,2.1,0.9,1.4,3.0,5.7,19.4,-1.8,38.0,9,0,6,8,3,13,3,2,1,9,3,1,7,3,2,7,12,9,9,1,1,2,7,5,1,2,1,12,3,6,1
10,Jason Richardson,2007-08,CHA,82,32,50,0.39,38.4,7.9,17.9,0.441,3.0,7.3,0.406,3.0,4.0,0.752,1.0,4.4,5.4,3.1,2.0,1.4,0.7,0.8,2.9,3.3,21.8,-2.8,37.3,5,0,1,6,2,12,1,3,3,6,1,1,3,3,4,5,10,3,4,3,5,2,1,6,2,3,2,12,3,3,1
7,Matt Carroll,2007-08,CHA,80,32,48,0.4,25.2,3.2,7.4,0.428,1.3,3.0,0.436,1.4,1.7,0.804,0.4,2.4,2.8,0.9,0.7,0.6,0.2,0.5,2.3,1.3,9.0,-1.2,15.5,0,0,1,1,3,5,2,2,2,4,2,2,1,4,4,7,4,1,2,3,5,4,1,1,2,3,2,6,2,1,1
