,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
8,DeMarre Carroll,2013-14,ATL,73,37,36,0.507,32.1,4.1,8.8,0.47,1.3,3.7,0.362,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.1,1.5,0.3,0.5,2.6,1.8,11.1,1.4,24.7,3,0,1,3,3,9,1,3,4,3,6,6,5,5,5,3,1,3,2,2,3,2,5,6,1,5,4,5,3,2,1
11,Jeff Teague,2013-14,ATL,79,37,42,0.468,32.2,5.8,13.2,0.438,0.9,2.8,0.329,4.0,4.8,0.846,0.4,2.2,2.6,6.7,2.9,1.1,0.2,0.9,2.0,4.1,16.5,1.5,30.8,13,0,3,8,1,11,5,1,1,9,7,5,13,2,2,7,3,4,4,6,1,7,12,5,8,2,1,5,4,3,1
10,Kyle Korver,2013-14,ATL,71,37,34,0.521,33.9,4.1,8.6,0.475,2.6,5.5,0.472,1.2,1.3,0.926,0.3,3.7,4.0,2.9,1.4,1.0,0.3,0.2,2.1,1.2,12.0,3.0,23.7,0,0,11,12,5,13,1,2,5,4,4,5,4,7,7,2,9,3,3,1,2,2,9,8,8,7,3,9,2,5,1
12,Lou Williams,2013-14,ATL,60,26,34,0.433,24.1,3.3,8.2,0.4,1.3,3.9,0.342,2.5,3.0,0.849,0.2,1.9,2.1,3.5,1.5,0.8,0.1,0.3,1.1,2.4,10.4,-2.8,19.1,0,0,12,9,9,15,11,16,16,15,9,9,12,14,14,11,18,9,12,6,13,12,17,17,13,14,15,18,15,7,2
9,Mike Scott,2013-14,ATL,80,36,44,0.45,18.5,3.8,7.9,0.479,0.8,2.5,0.31,1.3,1.7,0.78,0.8,2.8,3.6,0.9,1.0,0.4,0.1,0.3,1.5,1.4,9.6,-2.4,15.7,1,0,1,5,1,9,2,1,1,2,8,6,8,1,1,5,3,3,3,5,2,2,7,2,4,1,1,10,1,2,1
8,Paul Millsap,2013-14,ATL,74,36,38,0.486,33.5,6.5,14.1,0.461,1.0,2.9,0.358,3.9,5.3,0.731,2.1,6.4,8.5,3.1,2.5,1.7,1.1,0.9,2.8,4.8,17.9,1.7,38.7,30,1,8,11,2,15,3,3,1,14,4,4,4,2,2,8,9,2,4,3,1,4,4,3,10,1,2,13,2,2,1
14,Avery Bradley,2013-14,BOS,60,19,41,0.317,30.9,6.0,13.8,0.438,1.3,3.3,0.395,1.5,1.9,0.804,0.8,3.0,3.8,1.4,1.6,1.1,0.2,0.7,2.4,1.8,14.9,-2.1,23.6,1,0,4,9,1,14,6,3,3,8,8,11,3,3,2,6,2,3,2,10,3,6,8,5,6,3,5,13,4,2,1
3,Brandon Bass,2013-14,BOS,82,25,57,0.305,27.6,4.3,8.8,0.486,0.0,0.1,0.333,2.5,2.9,0.858,2.0,3.8,5.7,1.1,1.2,0.4,0.9,0.6,2.3,2.3,11.1,-4.9,22.3,5,0,1,9,1,11,3,3,2,9,2,3,1,1,2,4,1,3,2,3,2,5,2,6,2,1,3,12,2,2,1
3,Jared Sullinger,2013-14,BOS,74,23,51,0.311,27.6,5.2,12.1,0.427,0.8,2.8,0.269,2.1,2.7,0.778,3.3,4.9,8.1,1.6,1.6,0.5,0.7,0.7,3.4,2.8,13.3,-0.2,27.2,22,0,2,3,1,4,1,2,2,4,2,2,3,1,1,1,1,3,2,3,1,4,2,1,2,1,2,3,2,2,1
14,Jeff Green,2013-14,BOS,82,25,57,0.305,34.2,5.9,14.3,0.412,1.6,4.8,0.341,3.5,4.3,0.795,0.7,4.0,4.6,1.7,2.0,0.7,0.6,0.6,2.2,3.4,16.9,-4.3,26.7,2,0,1,10,3,16,4,4,2,16,1,1,7,2,2,11,11,4,5,6,2,7,6,7,9,1,2,16,5,5,1
10,Kelly Olynyk,2013-14,BOS,70,18,52,0.257,20.0,3.3,7.2,0.466,0.6,1.6,0.351,1.4,1.7,0.811,2.0,3.2,5.2,1.6,1.5,0.5,0.4,0.5,3.2,1.8,8.7,-0.1,18.4,3,0,4,8,1,8,9,8,7,5,10,10,7,6,7,4,1,9,5,9,4,10,9,2,2,7,9,8,9,4,1
0,Andray Blatche,2013-14,BKN,73,40,33,0.548,22.2,4.4,9.2,0.476,0.2,0.7,0.278,2.2,3.0,0.742,1.6,3.7,5.3,1.5,1.5,1.0,0.5,0.6,2.3,2.6,11.2,0.3,23.1,6,0,4,3,5,3,5,3,4,3,1,1,3,2,2,4,6,4,4,4,4,4,8,7,5,3,3,1,3,6,1
5,Deron Williams,2013-14,BKN,64,37,27,0.578,32.2,5.0,11.2,0.45,1.5,4.2,0.366,2.7,3.4,0.801,0.2,2.4,2.6,6.1,2.2,1.5,0.2,0.5,2.3,3.0,14.3,2.9,29.4,5,0,9,7,9,5,10,8,12,7,5,7,7,11,10,11,13,11,11,11,12,1,12,11,10,10,9,3,9,10,1
9,Joe Johnson,2013-14,BKN,79,43,36,0.544,32.6,5.8,12.9,0.454,2.1,5.1,0.401,2.0,2.5,0.815,0.6,2.8,3.4,2.7,1.5,0.6,0.1,0.2,1.6,2.0,15.8,0.7,24.6,0,0,7,6,7,11,13,11,11,7,6,6,4,9,9,10,16,13,13,15,14,17,15,16,13,9,11,11,12,14,3
4,Mirza Teletovic,2013-14,BKN,72,41,31,0.569,19.4,3.1,7.3,0.418,1.9,4.8,0.39,0.6,0.9,0.71,0.8,2.9,3.7,0.8,0.8,0.4,0.3,0.3,2.0,0.8,8.6,-1.3,15.7,2,0,2,1,3,1,3,2,3,3,3,2,3,3,3,5,1,3,3,4,3,2,2,2,2,3,2,4,3,1,1
3,Paul Pierce,2013-14,BKN,75,42,33,0.56,28.0,4.3,9.5,0.451,1.5,4.0,0.373,3.4,4.1,0.826,0.3,4.3,4.6,2.4,2.0,1.1,0.4,0.5,2.5,3.2,13.5,0.9,25.2,1,0,11,8,8,9,16,16,16,8,11,11,11,15,15,6,17,13,15,16,16,12,13,16,14,9,16,13,16,16,7
5,Shaun Livingston,2013-14,BKN,76,42,34,0.553,26.0,3.1,6.4,0.483,0.0,0.1,0.167,2.1,2.5,0.827,0.9,2.4,3.2,3.2,1.4,1.2,0.4,0.4,2.3,2.1,8.3,0.8,20.5,1,0,3,6,2,6,3,4,5,9,6,7,5,1,1,7,2,3,3,7,5,1,5,2,4,1,3,5,2,2,1
4,Al Jefferson,2013-14,CHA,73,38,35,0.521,35.0,9.6,18.8,0.509,0.0,0.2,0.2,2.6,3.8,0.69,2.1,8.7,10.8,2.1,1.7,0.9,1.1,1.0,2.4,2.9,21.8,0.4,42.3,42,0,5,4,8,5,4,2,2,4,1,2,3,5,4,8,7,1,4,2,5,2,9,6,10,6,2,3,2,2,1
3,Gerald Henderson,2013-14,CHA,77,40,37,0.519,32.0,5.2,12.1,0.433,0.5,1.5,0.348,3.1,4.0,0.761,0.4,3.6,4.0,2.6,1.5,0.7,0.4,0.5,2.1,3.5,14.0,-0.9,24.5,0,0,2,1,6,3,2,3,3,6,4,4,3,2,2,6,7,1,2,2,3,4,3,4,3,3,3,4,3,4,1
4,Josh McRoberts,2013-14,CHA,78,39,39,0.5,30.3,3.2,7.3,0.436,1.3,3.7,0.361,0.8,1.1,0.729,1.1,3.7,4.8,4.3,1.1,0.7,0.6,0.3,2.4,1.2,8.5,0.5,23.6,2,0,1,1,1,5,2,2,2,7,1,1,5,3,3,5,4,3,3,1,4,2,2,5,2,3,2,4,2,3,1
8,Kemba Walker,2013-14,CHA,73,38,35,0.521,35.8,6.2,15.7,0.393,1.5,4.5,0.333,3.9,4.6,0.837,0.5,3.7,4.2,6.1,2.3,1.2,0.4,1.0,1.8,4.0,17.7,1.8,34.4,9,1,6,3,7,4,1,8,8,9,8,9,8,4,4,8,7,3,3,1,3,5,4,9,2,5,8,6,6,2,1
1,Carlos Boozer,2013-14,CHI,76,43,33,0.566,28.2,5.9,12.9,0.456,0.0,0.0,0.0,1.9,2.5,0.767,1.8,6.5,8.3,1.6,2.0,0.7,0.3,1.2,2.8,2.0,13.7,-0.4,27.0,25,0,5,6,6,7,11,11,8,13,2,2,2,10,10,3,11,9,11,11,9,12,9,6,9,8,11,7,11,7,2
14,D.J. Augustin,2013-14,TOT,71,44,27,0.62,27.3,4.2,10.1,0.415,1.9,4.7,0.401,2.8,3.2,0.885,0.2,1.6,1.8,4.4,1.8,0.7,0.0,0.7,2.1,2.7,13.1,0.9,22.5,2,0,2,1,3,1,1,1,1,2,1,1,2,1,1,2,3,2,2,1,2,1,2,1,1,1,1,1,1,2,1
15,D.J. Augustin,2013-14,CHI,61,39,22,0.639,30.4,4.8,11.4,0.419,2.2,5.3,0.411,3.2,3.6,0.882,0.2,1.8,2.1,5.0,1.9,0.9,0.0,0.8,2.3,3.1,14.9,1.2,25.6,2,0,8,4,12,3,2,2,2,6,1,1,5,2,1,7,10,4,8,4,4,2,5,3,1,2,1,4,2,5,1
16,D.J. Augustin,2013-14,TOR,10,5,5,0.5,8.2,0.7,2.4,0.292,0.1,1.1,0.091,0.6,0.6,1.0,0.0,0.4,0.4,1.0,0.9,0.1,0.0,0.3,0.7,0.8,2.1,-1.4,3.5,0,0,18,17,18,8,18,18,18,18,18,18,18,18,18,1,18,18,18,18,16,18,15,16,17,18,18,11,18,9,1
10,Jimmy Butler,2013-14,CHI,67,43,24,0.642,38.7,4.1,10.3,0.397,1.0,3.6,0.283,3.9,5.0,0.769,1.3,3.6,4.9,2.6,1.5,1.9,0.5,0.7,1.6,4.1,13.1,2.8,28.7,5,0,3,2,5,3,2,10,10,12,5,2,8,10,10,11,10,8,10,10,7,5,5,6,5,9,10,6,10,6,6
6,Joakim Noah,2013-14,CHI,80,48,32,0.6,35.2,4.8,10.0,0.475,0.0,0.0,0.0,3.1,4.2,0.737,3.5,7.7,11.3,5.4,2.4,1.2,1.5,0.9,3.1,3.6,12.6,2.9,40.0,47,4,1,1,3,4,2,1,1,11,1,4,1,1,1,6,4,1,1,1,2,1,3,3,3,1,1,3,1,1,1
4,Kirk Hinrich,2013-14,CHI,73,45,28,0.616,29.0,3.3,8.5,0.393,1.2,3.3,0.351,1.3,1.7,0.76,0.4,2.2,2.6,3.9,1.6,1.1,0.4,0.4,2.8,2.1,9.1,2.0,20.9,1,0,7,2,9,3,9,10,8,11,9,6,11,8,7,10,2,9,9,9,9,9,3,7,7,4,9,4,10,7,3
5,Mike Dunleavy,2013-14,CHI,82,48,34,0.585,31.5,4.1,9.4,0.43,1.5,4.0,0.38,1.7,2.0,0.854,0.6,3.6,4.2,2.3,1.3,0.8,0.6,0.3,2.0,2.0,11.3,2.1,22.5,0,0,1,1,8,3,5,9,8,11,7,6,9,9,11,1,9,8,8,8,8,6,1,12,9,8,9,3,8,9,1
10,Taj Gibson,2013-14,CHI,82,48,34,0.585,28.7,5.2,10.9,0.479,0.0,0.1,0.0,2.6,3.4,0.751,2.4,4.4,6.8,1.1,1.8,0.5,1.4,1.1,2.5,3.3,13.0,1.7,26.6,15,0,1,2,6,6,2,1,1,13,9,8,9,1,1,3,5,4,5,5,1,8,2,1,7,1,1,6,1,3,1
10,Dion Waiters,2013-14,CLE,70,28,42,0.4,29.6,6.1,14.2,0.433,1.3,3.6,0.368,2.3,3.4,0.685,0.5,2.3,2.8,3.0,2.2,0.9,0.2,0.9,2.2,2.7,15.9,-0.8,25.0,1,0,2,2,1,8,4,1,2,1,5,6,4,2,2,6,3,4,4,4,3,6,7,3,2,1,1,6,2,2,1
4,Jarrett Jack,2013-14,CLE,80,32,48,0.4,28.2,3.6,8.7,0.41,0.8,2.3,0.341,1.6,1.9,0.839,0.3,2.5,2.8,4.1,1.7,0.7,0.3,0.4,1.7,2.0,9.5,-3.0,20.2,1,0,4,7,3,9,6,9,8,12,8,7,8,12,12,13,8,8,9,10,11,10,1,8,11,11,10,7,9,9,3
8,Kyrie Irving,2013-14,CLE,71,28,43,0.394,35.2,7.5,17.4,0.43,1.7,4.8,0.358,4.1,4.8,0.861,0.7,2.9,3.6,6.1,2.7,1.5,0.3,0.8,2.3,3.7,20.8,-3.1,37.2,7,1,3,7,1,9,2,8,7,11,8,8,9,5,4,10,7,7,8,3,3,2,9,8,5,4,8,10,7,4,1
8,Tristan Thompson,2013-14,CLE,82,33,49,0.402,31.6,4.4,9.3,0.477,0.0,0.0,0.0,2.9,4.1,0.693,3.3,5.9,9.2,0.9,1.3,0.5,0.4,1.2,2.3,3.1,11.7,-2.8,25.6,36,0,1,4,2,6,1,4,3,10,3,7,3,1,1,1,6,3,4,6,5,4,8,2,4,1,2,7,4,1,1
