,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
13,Al Harrington,2004-05,ATL,66,10,56,0.152,38.6,6.9,14.9,0.459,0.2,1.1,0.216,3.6,5.3,0.672,2.2,4.8,7.0,3.2,3.1,1.3,0.2,1.1,3.8,0.0,17.5,-7.8,32.2,12,0,9,16,1,18,1,3,3,3,13,12,16,1,1,15,1,4,1,1,1,2,8,2,2,14,4,18,3,2,1
3,Antoine Walker,2004-05,TOT,77,26,51,0.338,38.5,7.5,17.9,0.422,1.4,4.4,0.323,2.6,4.8,0.539,2.4,6.7,9.0,3.4,3.3,1.2,0.8,1.4,2.8,0.0,19.1,-6.8,37.6,31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Antoine Walker,2004-05,BOS,24,16,8,0.667,34.8,6.7,15.2,0.442,1.0,3.0,0.342,1.8,3.3,0.557,2.3,5.9,8.3,3.0,2.9,1.0,1.1,1.2,2.9,0.0,16.3,0.5,34.1,7,0,13,9,13,1,9,9,9,1,10,12,5,9,9,9,7,8,8,10,7,9,1,8,7,9,9,5,9,10,8
5,Antoine Walker,2004-05,ATL,53,10,43,0.189,40.2,7.9,19.1,0.415,1.6,5.1,0.317,3.0,5.5,0.534,2.4,7.0,9.4,3.7,3.5,1.2,0.6,1.4,2.8,0.0,20.4,-10.1,39.1,24,0,10,12,5,12,4,4,5,7,5,4,9,5,2,11,6,2,2,6,3,8,7,5,9,9,5,13,4,6,8
7,Josh Childress,2004-05,ATL,80,12,68,0.15,29.6,3.8,8.0,0.47,0.2,0.7,0.232,2.4,2.9,0.823,2.4,3.6,6.0,1.9,1.3,0.9,0.4,0.9,2.3,0.0,10.1,-5.5,22.9,12,0,1,6,1,8,4,3,2,6,4,5,5,3,3,1,1,2,2,2,3,4,4,2,2,7,3,8,3,1,1
16,Josh Smith,2004-05,ATL,74,11,63,0.149,27.7,3.7,8.1,0.455,0.1,0.3,0.174,2.2,3.2,0.688,2.0,4.2,6.2,1.7,1.8,0.8,1.9,0.5,2.1,0.0,9.7,-5.1,26.1,10,0,7,13,1,15,11,12,12,7,13,13,13,8,11,5,6,11,11,13,12,12,5,11,13,14,12,14,12,10,4
3,Tony Delk,2004-05,ATL,56,6,50,0.107,24.1,4.4,10.6,0.416,1.3,3.6,0.356,1.8,2.4,0.757,0.5,1.8,2.3,1.9,1.0,0.8,0.1,0.4,2.2,0.0,11.9,-3.8,19.2,0,0,5,11,2,12,4,2,3,5,2,2,5,3,2,8,10,5,5,7,8,5,10,2,2,5,2,12,3,5,1
8,Tyronn Lue,2004-05,TOT,70,16,54,0.229,28.7,4.2,9.3,0.451,0.8,2.2,0.355,2.0,2.4,0.861,0.2,1.9,2.1,4.6,1.5,0.5,0.0,0.5,2.4,0.0,11.2,-6.5,20.6,4,0,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1,1,1
9,Tyronn Lue,2004-05,ATL,49,7,42,0.143,31.2,5.0,10.9,0.464,0.8,2.2,0.364,2.6,3.0,0.871,0.3,1.9,2.2,5.4,1.7,0.5,0.0,0.7,2.4,0.0,13.5,-8.1,24.1,4,0,6,12,2,14,1,1,1,3,6,5,9,1,1,3,4,2,2,1,1,4,5,1,1,9,1,14,1,1,1
10,Tyronn Lue,2004-05,HOU,21,9,12,0.429,22.9,2.3,5.8,0.393,0.7,2.1,0.333,0.7,0.9,0.778,0.0,1.9,1.9,2.8,1.1,0.4,0.0,0.2,2.3,0.0,6.0,-2.7,12.4,0,0,10,9,10,8,6,9,8,14,8,6,13,10,9,7,12,3,4,7,6,8,5,11,3,9,9,10,7,5,1
