,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
2,Cam Reddish,2019-20,ATL,58,17,41,0.293,26.7,3.7,9.6,0.384,1.4,4.3,0.332,1.7,2.2,0.802,0.6,3.1,3.7,1.5,1.7,1.1,0.5,0.9,2.3,1.9,10.5,-4.2,20.2,0,0,1,1,1,3,2,3,3,2,2,3,2,3,3,3,2,2,2,1,1,2,1,1,2,2,3,2,2,1,1
2,De'Andre Hunter,2019-20,ATL,63,19,44,0.302,32.0,4.4,10.8,0.41,1.7,4.8,0.355,1.7,2.3,0.764,0.7,3.8,4.5,1.8,1.6,0.7,0.3,0.9,2.9,2.1,12.3,-4.1,21.8,3,0,1,1,1,2,1,3,1,3,1,1,2,2,2,2,2,2,2,2,1,2,3,1,1,3,2,2,2,1,1
2,John Collins,2019-20,ATL,41,15,26,0.366,33.2,8.6,14.8,0.583,1.4,3.6,0.401,2.9,3.7,0.8,2.8,7.3,10.1,1.5,1.8,0.8,1.6,1.3,3.4,3.5,21.6,-4.0,41.2,22,0,4,4,4,4,1,1,1,1,1,1,2,2,3,2,2,1,1,3,2,1,1,1,1,3,1,5,1,2,1
2,Kevin Huerter,2019-20,ATL,56,19,37,0.339,31.4,4.5,10.9,0.413,2.3,6.0,0.38,0.9,1.1,0.828,0.6,3.4,4.1,3.8,1.6,0.9,0.5,0.3,2.5,1.0,12.2,-4.3,25.4,2,0,3,3,2,4,1,2,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,4,1,2,1
2,Trae Young,2019-20,ATL,60,18,42,0.3,35.3,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.3,1.7,7.7,29.6,-3.8,47.6,28,2,3,3,2,4,1,2,1,3,1,1,2,1,1,3,4,1,1,2,1,1,3,2,2,1,1,3,1,2,1
4,Daniel Theis,2019-20,BOS,65,42,23,0.646,24.1,3.7,6.6,0.566,0.5,1.5,0.333,1.3,1.8,0.763,2.2,4.4,6.6,1.7,0.8,0.6,1.3,0.4,3.4,2.2,9.2,3.1,24.4,7,0,2,2,2,2,3,3,4,1,4,4,3,1,2,1,1,1,1,2,5,3,1,2,1,1,3,1,1,1,1
2,Gordon Hayward,2019-20,BOS,52,34,18,0.654,33.5,6.7,13.5,0.5,1.6,4.3,0.383,2.4,2.8,0.855,1.1,5.6,6.7,4.1,1.8,0.7,0.4,0.8,1.8,2.5,17.5,6.4,33.2,8,0,9,7,11,1,6,3,5,1,5,6,6,9,9,1,1,1,1,4,6,10,5,2,3,10,5,1,5,2,1
2,Jaylen Brown,2019-20,BOS,57,38,19,0.667,33.9,7.5,15.6,0.481,2.3,5.9,0.382,3.1,4.3,0.724,1.1,5.3,6.4,2.1,2.2,1.1,0.4,1.2,2.9,3.4,20.3,4.0,33.4,8,0,5,4,5,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,5,2,1,3,3,2,3,2,2
2,Jayson Tatum,2019-20,BOS,66,46,20,0.697,34.3,8.4,18.6,0.45,2.9,7.1,0.403,3.8,4.7,0.812,1.0,6.0,7.0,3.0,2.3,1.4,0.9,0.9,2.1,3.6,23.4,7.6,40.8,10,0,3,3,4,1,3,3,3,3,2,3,2,3,3,5,2,3,3,3,3,1,1,3,4,3,3,1,3,3,2
2,Kemba Walker,2019-20,BOS,56,37,19,0.661,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.7,4.3,0.864,0.6,3.2,3.9,4.8,2.1,0.9,0.5,1.1,1.6,3.9,20.4,4.4,34.3,2,0,9,4,10,1,9,5,5,5,1,2,4,7,8,3,3,6,6,9,7,10,1,6,3,8,5,1,7,8,4
2,Marcus Smart,2019-20,BOS,60,39,21,0.65,32.0,4.3,11.4,0.375,2.3,6.6,0.347,2.1,2.5,0.836,0.7,3.1,3.8,4.9,1.7,1.7,0.5,0.3,2.7,2.6,12.9,4.7,29.5,3,0,5,3,6,2,3,1,1,4,1,1,2,3,5,1,7,2,4,3,5,3,1,6,2,6,2,1,2,1,2
4,Caris LeVert,2019-20,BKN,45,21,24,0.467,29.6,6.9,16.3,0.425,1.8,4.9,0.364,3.1,4.4,0.711,1.1,3.1,4.2,4.4,2.6,1.2,0.2,0.9,1.8,3.6,18.7,-0.1,32.0,2,1,3,2,3,4,3,3,3,7,2,4,1,2,1,6,1,3,3,3,1,2,6,1,5,1,2,3,3,3,1
2,Garrett Temple,2019-20,BKN,62,30,32,0.484,27.9,3.6,9.5,0.378,2.0,6.2,0.329,1.1,1.4,0.805,0.5,3.0,3.5,2.5,1.0,0.8,0.5,0.4,1.7,1.4,10.3,-0.7,21.1,2,0,5,3,5,8,2,1,1,12,1,1,9,4,5,2,5,1,1,2,8,8,3,2,10,4,1,8,1,1,1
4,Jarrett Allen,2019-20,BKN,70,33,37,0.471,26.5,4.3,6.6,0.649,0.0,0.1,0.0,2.4,3.9,0.633,3.1,6.5,9.6,1.6,1.1,0.6,1.3,0.6,2.3,3.9,11.1,0.6,29.5,30,0,3,2,3,4,4,3,4,3,5,5,5,5,4,6,4,4,4,4,6,3,5,1,1,4,4,3,4,1,1
2,Joe Harris,2019-20,BKN,69,33,36,0.478,30.8,5.5,11.4,0.486,2.5,5.9,0.424,0.9,1.3,0.719,0.9,3.4,4.3,2.1,1.5,0.6,0.2,0.8,2.3,1.2,14.5,1.2,23.8,0,0,3,3,3,6,2,1,1,4,3,3,4,3,3,5,1,2,1,2,2,2,2,2,3,2,1,2,1,2,1
2,Spencer Dinwiddie,2019-20,BKN,64,30,34,0.469,31.2,6.6,16.0,0.415,1.9,6.3,0.308,5.4,7.0,0.778,0.5,3.0,3.5,6.8,2.7,0.6,0.3,0.8,2.8,4.6,20.6,0.8,35.0,9,0,3,2,3,4,1,1,1,3,1,1,5,1,1,7,2,3,3,1,1,4,3,1,1,1,1,2,1,1,1
4,Taurean Prince,2019-20,BKN,64,30,34,0.469,29.0,4.3,11.5,0.376,2.3,6.7,0.339,1.1,1.4,0.798,0.8,5.2,6.0,1.8,2.0,0.9,0.4,0.4,2.5,1.5,12.1,1.1,23.8,8,0,2,1,3,4,2,3,2,7,1,1,5,6,6,5,1,1,1,4,2,3,5,3,2,4,3,1,2,1,1
2,Cody Zeller,2019-20,CHA,58,18,40,0.31,23.1,4.3,8.3,0.524,0.3,1.3,0.24,2.1,3.1,0.682,2.8,4.3,7.1,1.5,1.3,0.7,0.4,0.8,2.4,3.1,11.1,-3.8,23.9,10,0,5,7,1,9,5,1,1,7,1,1,4,4,3,8,1,5,1,5,1,4,7,4,7,1,1,9,3,1,1
2,Devonte' Graham,2019-20,CHA,63,23,40,0.365,35.1,5.8,15.3,0.382,3.5,9.3,0.373,3.0,3.7,0.82,0.7,2.7,3.4,7.5,2.9,1.0,0.2,0.5,1.8,4.0,18.2,-2.9,34.2,17,0,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1
2,Miles Bridges,2019-20,CHA,65,23,42,0.354,30.7,4.9,11.6,0.424,1.5,4.6,0.33,1.6,2.0,0.809,1.4,4.2,5.6,1.8,1.5,0.6,0.7,0.7,2.0,1.6,13.0,-6.1,24.9,4,0,3,3,1,4,2,2,2,4,3,2,2,2,2,2,1,3,3,3,3,4,3,2,3,2,2,4,3,3,1
2,P.J. Washington,2019-20,CHA,58,22,36,0.379,30.3,4.6,10.2,0.455,1.5,4.0,0.374,1.5,2.3,0.647,1.0,4.4,5.4,2.1,1.6,0.9,0.8,0.7,2.7,2.3,12.2,-3.8,25.3,4,0,2,2,1,3,2,2,2,1,3,3,3,2,1,3,3,2,3,3,2,2,3,2,1,1,2,3,2,2,1
