,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
3,Mookie Blaylock,1998-99,ATL,48,30,18,0.625,36.7,5.1,13.6,0.379,1.6,5.2,0.307,1.4,1.9,0.758,0.9,3.7,4.7,5.8,2.4,2.1,0.2,0.5,1.3,0.0,13.3,4.6,32.0,5,1,5,3,6,3,3,3,2,5,2,2,5,2,3,1,4,2,3,5,2,4,5,1,5,2,2,3,3,5,2
8,Steven Smith,1998-99,ATL,36,25,11,0.694,36.5,6.0,15.0,0.402,1.3,3.9,0.338,5.3,6.3,0.849,1.4,2.8,4.2,3.3,2.8,1.0,0.3,0.7,2.8,0.1,18.7,6.5,29.8,1,0,9,8,9,3,3,3,3,8,4,2,7,2,1,7,3,1,2,3,1,2,4,1,2,2,3,1,3,2,1
11,Antoine Walker,1998-99,BOS,42,16,26,0.381,36.9,7.2,17.5,0.412,1.5,4.2,0.369,2.7,4.8,0.559,2.5,6.0,8.5,3.1,2.8,1.5,0.7,1.2,3.4,0.1,18.7,-4.7,37.2,14,0,12,9,12,10,6,7,7,9,6,6,1,7,4,8,3,5,6,9,8,4,4,7,1,5,7,11,7,9,8
18,Paul Pierce,1998-99,BOS,48,19,29,0.396,34.0,5.9,13.5,0.439,1.8,4.3,0.412,2.9,4.1,0.713,2.4,4.0,6.4,2.4,2.4,1.7,1.0,1.0,2.9,0.0,16.5,-1.4,33.7,3,0,17,18,11,19,13,14,13,13,6,9,2,16,16,19,1,15,6,15,13,4,2,6,5,14,15,19,13,14,7
10,Ron Mercer,1998-99,BOS,41,14,27,0.341,37.9,7.4,17.2,0.431,0.1,0.7,0.167,2.0,2.6,0.79,0.9,2.9,3.8,2.5,2.2,1.6,0.3,0.7,2.0,0.0,17.0,-4.3,29.0,1,0,4,6,5,8,3,2,3,4,4,4,7,6,6,5,5,2,4,4,2,1,3,5,6,3,3,7,3,2,1
1,Bobby Phills,1998-99,CHH,43,24,19,0.558,36.6,5.0,11.6,0.433,1.6,4.0,0.395,2.7,3.9,0.685,0.9,3.1,4.0,3.5,2.1,1.4,0.6,0.7,2.9,0.0,14.3,1.5,28.1,0,0,3,3,3,2,1,2,2,3,1,1,1,1,1,4,3,1,1,1,1,3,1,1,2,4,1,3,1,2,1
10,David Wesley,1998-99,CHH,50,26,24,0.52,36.9,4.9,10.9,0.446,1.2,3.4,0.359,3.2,3.8,0.832,0.5,2.8,3.2,6.4,2.8,2.0,0.2,0.4,2.6,0.0,14.1,1.0,31.4,9,0,10,9,9,8,5,8,8,2,7,7,6,2,3,3,9,2,3,3,2,2,4,9,6,5,5,5,2,3,1
11,Toni Kukoc,1998-99,CHI,44,13,31,0.295,37.6,7.2,17.0,0.421,0.9,3.1,0.287,3.6,4.9,0.74,1.5,5.6,7.0,5.3,2.8,1.1,0.3,1.0,1.9,0.0,18.8,-3.6,36.6,12,0,9,10,4,11,1,2,1,7,4,4,11,2,2,3,4,1,1,2,3,3,10,1,6,6,2,11,2,1,3
4,Shawn Kemp,1998-99,CLE,42,21,21,0.5,35.0,6.6,13.7,0.482,0.0,0.0,0.5,7.3,9.3,0.789,3.1,6.1,9.2,2.4,3.0,1.1,1.1,2.1,3.8,0.0,20.5,0.6,38.8,20,0,7,7,7,6,1,1,3,2,5,6,1,1,1,2,2,3,3,2,4,4,3,1,4,3,1,3,1,4,1
5,Gary Trent,1998-99,DAL,45,18,27,0.4,30.2,6.4,13.4,0.477,0.0,0.1,0.0,3.2,5.2,0.617,2.8,5.0,7.8,1.7,1.5,0.6,0.5,1.0,2.7,0.0,16.0,-0.9,29.9,14,0,5,7,3,7,1,1,1,6,2,5,2,1,1,6,2,1,2,2,5,3,2,2,3,3,1,2,1,1,1
13,Michael Finley,1998-99,DAL,50,19,31,0.38,41.1,7.8,17.5,0.444,0.9,2.7,0.331,3.7,4.5,0.823,1.4,3.9,5.3,4.4,2.1,1.3,0.3,0.7,1.9,0.0,20.2,-1.2,35.8,6,0,13,12,4,13,4,5,5,7,14,13,14,2,2,7,4,4,4,4,5,4,8,4,6,10,5,13,4,5,4
13,Antonio McDyess,1998-99,DEN,50,14,36,0.28,38.7,8.3,17.6,0.471,0.0,0.2,0.111,4.6,6.8,0.68,3.4,7.4,10.7,1.6,2.8,1.5,2.3,1.0,3.5,0.0,21.2,-5.0,45.1,28,0,12,12,3,14,1,1,1,13,2,2,2,1,1,7,2,2,2,4,2,1,1,3,4,10,1,14,1,3,1
19,Chauncey Billups,1998-99,DEN,45,14,31,0.311,33.1,4.2,11.0,0.386,1.9,5.2,0.362,3.5,3.8,0.913,0.5,1.6,2.1,3.8,2.2,1.3,0.3,0.9,2.6,0.0,13.9,-4.2,24.8,0,0,13,14,3,19,8,11,11,15,9,5,13,13,13,6,7,17,17,15,8,4,2,2,1,13,12,19,13,13,3
9,Nick Van Exel,1998-99,DEN,50,14,36,0.28,36.0,6.1,15.4,0.398,1.4,4.7,0.308,2.8,3.5,0.811,0.3,2.0,2.3,7.4,2.4,0.8,0.1,0.5,1.8,0.0,16.5,-6.1,30.4,10,0,8,9,3,11,5,3,3,7,8,7,10,3,3,5,10,10,10,5,4,6,7,4,3,3,3,11,5,5,1
13,Grant Hill,1998-99,DET,50,29,21,0.58,37.0,7.7,16.0,0.479,0.0,0.3,0.0,5.7,7.6,0.752,1.3,5.8,7.1,6.0,3.7,1.6,0.5,1.1,2.3,0.0,21.1,3.8,41.3,10,1,10,10,11,4,4,4,3,10,15,10,15,3,4,12,6,4,5,4,1,3,7,2,7,11,4,3,4,4,3
14,Jerry Stackhouse,1998-99,DET,42,24,18,0.571,28.3,4.3,11.6,0.371,0.8,3.0,0.278,5.0,5.9,0.85,0.6,1.9,2.5,2.8,2.9,0.8,0.5,1.0,1.9,0.0,14.5,0.5,22.6,1,0,11,11,8,10,10,11,10,15,10,8,13,6,7,8,9,11,11,10,7,10,6,5,8,11,9,9,10,6,2
5,John Starks,1998-99,GSW,50,21,29,0.42,33.7,5.4,14.6,0.37,1.6,5.4,0.29,1.5,2.0,0.74,0.7,2.6,3.3,4.7,1.7,1.4,0.1,0.5,2.7,0.1,13.8,-1.7,27.5,3,0,5,5,3,5,1,2,2,5,4,1,7,3,3,7,1,1,1,2,4,1,4,1,3,2,2,6,1,1,1
1,Charles Barkley,1998-99,HOU,42,27,15,0.643,36.3,5.7,12.0,0.478,0.1,0.6,0.16,4.6,6.4,0.719,4.0,8.3,12.3,4.6,2.4,1.0,0.3,1.3,2.1,0.0,16.1,3.2,39.3,29,0,3,3,2,2,2,2,2,3,4,4,4,2,2,2,2,2,2,2,2,3,3,1,4,4,2,2,2,3,3
3,Hakeem Olajuwon,1998-99,HOU,50,31,19,0.62,35.7,7.5,14.5,0.514,0.1,0.3,0.308,3.9,5.4,0.717,2.1,7.4,9.6,1.8,2.8,1.6,2.5,0.6,3.2,0.0,18.9,1.2,42.5,25,0,4,4,6,2,2,2,2,1,1,1,2,2,2,3,4,1,2,3,2,2,1,3,2,3,2,3,2,2,2
5,Scottie Pippen,1998-99,HOU,50,31,19,0.62,40.3,5.2,12.1,0.432,1.4,4.2,0.34,2.6,3.7,0.721,1.3,5.2,6.5,5.9,3.2,2.0,0.7,0.6,2.4,0.0,14.5,1.3,36.0,9,2,6,7,6,6,1,3,3,6,2,3,3,2,2,5,3,1,2,1,1,1,2,2,6,3,3,7,3,3,1
6,Reggie Miller,1998-99,IND,50,33,17,0.66,35.8,5.9,13.4,0.438,2.1,5.5,0.385,4.5,4.9,0.915,0.5,2.2,2.7,2.2,1.5,0.7,0.2,0.4,2.0,0.1,18.4,3.8,26.2,1,0,9,9,9,4,5,4,3,7,3,4,6,4,4,4,4,6,6,7,5,9,4,3,2,3,4,3,6,1,1
1,Rik Smits,1998-99,IND,49,33,16,0.673,26.0,6.3,12.9,0.49,0.0,0.0,0.0,2.2,2.7,0.818,1.5,4.1,5.6,1.1,1.5,0.4,1.1,0.6,3.2,0.0,14.9,4.0,25.9,2,0,4,3,4,3,3,3,3,2,2,3,2,3,3,1,3,3,3,4,3,3,4,3,3,4,3,2,3,4,1
6,Lamond Murray,1998-99,LAC,50,9,41,0.18,26.3,4.5,11.6,0.391,0.7,2.1,0.33,2.5,3.1,0.803,1.2,2.7,3.9,1.2,2.0,1.2,0.4,0.6,2.1,0.0,12.2,-6.0,21.5,1,0,8,9,6,9,5,5,5,8,6,3,9,4,4,2,4,5,5,5,4,3,4,5,4,4,5,9,5,6,1
