,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
4,J.J. Barea,2015-16,DAL,74,38,36,0.514,22.5,4.3,9.6,0.446,1.4,3.5,0.385,1.0,1.3,0.771,0.4,1.7,2.1,4.1,1.5,0.4,0.0,0.6,1.5,1.7,10.9,-1.0,19.1,2,0,6,6,4,9,4,2,6,1,3,4,2,7,7,11,4,8,7,5,8,10,7,3,7,8,5,11,6,5,2
3,Raymond Felton,2015-16,DAL,80,40,40,0.5,27.4,3.5,8.5,0.406,0.8,2.7,0.282,1.9,2.2,0.847,0.5,2.8,3.2,3.6,1.5,0.9,0.2,0.4,1.8,1.9,9.5,-0.8,20.3,3,1,3,5,5,8,11,11,11,10,9,9,14,6,7,3,9,5,7,11,11,11,8,11,10,10,11,11,11,8,1
9,Wesley Matthews,2015-16,DAL,78,40,38,0.513,33.9,4.2,10.9,0.388,2.4,6.7,0.36,1.6,1.9,0.863,0.3,2.7,3.1,1.9,1.0,1.0,0.2,0.5,2.3,1.9,12.5,1.3,21.7,0,0,4,6,4,8,4,9,8,12,5,2,13,11,11,1,12,4,7,10,11,7,8,6,5,12,9,7,8,4,1
3,Zaza Pachulia,2015-16,DAL,76,40,36,0.526,26.4,2.9,6.2,0.466,0.0,0.0,0.0,2.8,3.6,0.768,3.3,6.2,9.4,1.7,1.6,0.8,0.3,0.6,2.4,3.4,8.6,0.0,24.2,26,0,5,6,7,8,4,5,5,8,1,6,1,3,3,7,2,1,1,4,5,7,8,6,7,3,3,6,3,1,1
6,Danilo Gallinari,2015-16,DEN,53,22,31,0.415,34.7,5.4,13.2,0.41,1.6,4.5,0.364,7.1,8.2,0.868,1.0,4.3,5.3,2.5,1.5,0.8,0.4,0.9,1.6,6.3,19.5,-1.9,31.7,3,0,7,10,4,11,2,3,1,12,10,10,10,1,1,11,2,6,3,3,5,6,7,1,9,1,2,14,2,4,1
7,Emmanuel Mudiay,2015-16,DEN,68,29,39,0.426,30.4,4.8,13.3,0.364,1.1,3.4,0.319,2.1,3.1,0.67,0.5,2.9,3.4,5.5,3.2,1.0,0.5,1.2,2.1,2.3,12.8,-1.7,26.3,4,0,1,2,2,4,1,2,1,6,2,2,4,3,2,7,3,1,1,1,1,1,1,1,1,2,2,2,1,1,1
8,Gary Harris,2015-16,DEN,76,31,45,0.408,32.1,4.7,10.1,0.469,1.4,3.9,0.354,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,1.3,0.2,0.6,1.9,1.3,12.3,-2.8,21.9,0,0,1,4,1,6,2,4,4,3,5,6,5,5,5,4,3,3,3,6,3,3,4,5,5,7,4,6,4,1,1
5,Kenneth Faried,2015-16,DEN,67,26,41,0.388,25.3,5.2,9.3,0.558,0.0,0.0,0.5,2.0,3.3,0.613,3.5,5.2,8.7,1.2,1.4,0.5,0.9,0.9,2.5,3.1,12.5,-1.6,27.4,21,0,4,6,3,8,4,3,3,4,3,7,1,7,6,9,1,4,3,3,4,7,3,4,4,3,4,7,4,4,1
6,Nikola Jokic,2015-16,DEN,80,31,49,0.388,21.7,3.8,7.5,0.512,0.4,1.1,0.333,1.9,2.4,0.811,2.3,4.7,7.0,2.4,1.3,1.0,0.6,0.7,2.6,2.5,10.0,1.2,25.4,16,0,1,6,1,7,7,7,7,5,7,7,4,7,7,6,7,7,7,7,7,6,6,4,6,7,7,7,7,7,7
6,Will Barton,2015-16,DEN,82,33,49,0.402,28.7,5.2,12.0,0.432,1.4,4.0,0.345,2.6,3.3,0.806,0.7,5.1,5.8,2.5,1.7,0.9,0.5,0.7,1.8,2.5,14.4,-1.6,27.4,6,0,1,4,1,9,5,4,4,5,7,6,6,1,1,3,6,1,2,7,4,5,5,6,5,1,4,10,4,2,1
