,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
4,Dennis Schroder,2017-18,ATL,67,21,46,0.313,31.0,7.5,17.1,0.436,1.1,3.9,0.29,3.4,4.0,0.849,0.7,2.4,3.1,6.2,2.7,1.1,0.1,1.7,2.2,4.0,19.4,-4.1,33.2,5,0,5,7,1,9,4,1,1,4,6,4,8,2,2,2,1,6,6,2,2,2,6,1,5,1,1,8,1,3,1
6,Dewayne Dedmon,2017-18,ATL,62,18,44,0.29,24.9,4.0,7.7,0.524,0.8,2.3,0.355,1.1,1.4,0.779,1.6,6.3,7.9,1.5,1.4,0.6,0.8,0.2,2.6,1.6,10.0,-2.5,24.6,15,0,3,5,1,9,2,2,3,6,2,3,3,4,4,4,7,2,2,1,2,3,4,8,4,1,2,11,3,1,1
4,John Collins,2017-18,ATL,74,21,53,0.284,24.1,4.2,7.4,0.576,0.2,0.6,0.34,1.8,2.5,0.715,2.4,4.9,7.3,1.3,1.4,0.6,1.1,0.6,2.9,2.5,10.5,-3.0,25.0,11,0,1,3,1,5,5,5,5,2,5,5,5,5,5,5,3,5,5,4,3,3,2,5,5,5,5,4,5,4,1
6,Kent Bazemore,2017-18,ATL,65,19,46,0.292,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.5,3.1,0.796,0.4,3.4,3.8,3.5,2.4,1.5,0.7,0.5,2.3,2.7,12.9,-2.5,27.0,0,0,6,8,1,12,3,2,2,5,1,2,2,1,2,3,5,4,5,1,1,1,3,2,7,2,2,8,1,4,1
6,Taurean Prince,2017-18,ATL,82,24,58,0.293,30.0,5.1,11.9,0.426,2.1,5.6,0.385,1.9,2.2,0.844,0.6,4.1,4.7,2.6,2.3,1.0,0.5,0.8,2.0,2.3,14.1,-4.5,26.0,5,0,1,3,1,7,1,1,1,2,3,3,3,2,2,2,2,2,2,1,1,1,3,1,3,1,1,7,1,2,1
4,Al Horford,2017-18,BOS,72,47,25,0.653,31.6,5.1,10.5,0.489,1.3,3.1,0.429,1.3,1.7,0.783,1.4,5.9,7.4,4.7,1.8,0.6,1.1,0.4,1.9,1.9,12.9,4.8,32.0,15,0,7,4,9,3,9,11,10,11,3,5,4,11,11,8,13,7,7,2,3,15,10,12,11,8,10,2,9,7,3
4,Jaylen Brown,2017-18,BOS,70,47,23,0.671,30.7,5.3,11.5,0.465,1.7,4.4,0.395,2.1,3.3,0.644,0.9,4.0,4.9,1.6,1.8,1.0,0.4,0.8,2.6,2.9,14.5,4.9,25.2,2,0,3,2,4,1,4,4,4,4,4,4,2,4,4,6,3,4,4,4,4,4,4,4,4,4,4,1,4,4,2
4,Jayson Tatum,2017-18,BOS,80,53,27,0.663,30.5,5.0,10.4,0.475,1.3,3.0,0.434,2.7,3.2,0.826,0.6,4.4,5.0,1.6,1.4,1.0,0.7,0.7,2.1,2.5,13.9,4.3,26.2,4,0,1,1,3,2,5,5,5,1,5,5,1,4,4,4,5,5,5,5,5,4,3,4,3,5,5,3,5,5,2
4,Kyrie Irving,2017-18,BOS,60,41,19,0.683,32.2,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.4,0.889,0.6,3.2,3.8,5.1,2.3,1.1,0.3,0.8,2.0,3.4,24.4,4.3,38.4,1,0,5,3,7,3,8,5,6,2,3,3,2,6,6,5,10,5,5,9,11,9,10,10,8,7,4,5,5,8,4
6,Marcus Morris Sr.,2017-18,BOS,54,34,20,0.63,26.7,4.9,11.3,0.429,1.6,4.3,0.368,2.3,2.9,0.805,0.8,4.6,5.4,1.3,1.2,0.6,0.2,0.4,1.9,2.4,13.6,0.4,23.4,2,0,7,7,8,3,7,6,5,7,5,7,6,4,4,6,8,2,3,8,6,8,9,5,11,3,6,6,6,6,1
